date,week,team,opp,is_away,season_year
2021-10-10,5,NYG,DAL,1,2021
2021-10-10,5,CLE,LAC,1,2021
2021-10-10,5,LVR,CHI,0,2021
2021-10-10,5,WAS,NOR,0,2021
2021-10-10,5,MIA,TAM,1,2021
2021-10-10,5,JAX,TEN,0,2021
2021-10-10,5,HOU,NWE,0,2021
2021-10-10,5,DET,MIN,1,2021
2021-10-10,5,DEN,PIT,1,2021
2021-10-10,5,CIN,GNB,0,2021
2021-10-10,5,CAR,PHI,0,2021
2021-10-10,5,SFO,ARI,1,2021
2021-10-10,5,LAC,CLE,0,2021
2021-10-11,5,IND,BAL,1,2021
2021-10-11,5,BAL,IND,0,2021
2021-10-14,6,PHI,TAM,0,2021
2021-10-14,6,TAM,PHI,1,2021
2021-10-17,6,DEN,LVR,0,2021
2021-10-17,6,CAR,MIN,0,2021
2021-10-17,6,JAX,MIA,0,2021
2021-10-17,6,MIN,CAR,1,2021
2021-10-17,6,GNB,CHI,1,2021
2021-10-17,6,CIN,DET,1,2021
2021-10-17,6,IND,HOU,0,2021
2021-10-17,6,KAN,WAS,1,2021
2021-10-17,6,LAR,NYG,1,2021
2021-10-17,6,BAL,LAC,0,2021
2021-10-17,6,ARI,CLE,1,2021
2021-10-17,6,DAL,NWE,1,2021
2021-10-17,6,MIA,JAX,1,2021
2021-10-17,6,PIT,SEA,0,2021
2021-10-17,6,LVR,DEN,1,2021
2021-10-17,6,WAS,KAN,0,2021
2021-10-17,6,CHI,GNB,0,2021
2021-10-17,6,SEA,PIT,1,2021
2021-10-17,6,DET,CIN,0,2021
2021-10-17,6,NWE,DAL,0,2021
2021-10-17,6,CLE,ARI,0,2021
2021-10-17,6,LAC,BAL,1,2021
2021-10-17,6,NYG,LAR,0,2021
2021-10-17,6,HOU,IND,1,2021
2021-10-18,6,TEN,BUF,0,2021
2021-10-18,6,BUF,TEN,1,2021
2021-10-21,7,CLE,DEN,0,2021
2021-10-21,7,DEN,CLE,1,2021
2021-10-24,7,HOU,ARI,1,2021
2021-10-24,7,WAS,GNB,1,2021
2021-10-24,7,KAN,TEN,1,2021
2021-10-24,7,NYJ,NWE,1,2021
2021-10-24,7,DET,LAR,1,2021
2021-10-24,7,PHI,LVR,1,2021
2021-10-24,7,CHI,TAM,1,2021
2021-10-24,7,MIA,ATL,0,2021
2021-10-24,7,SFO,IND,0,2021
2021-10-24,7,BAL,CIN,0,2021
2021-10-24,7,NWE,NYJ,0,2021
2021-10-24,7,ATL,MIA,1,2021
2021-10-24,7,NYG,CAR,0,2021
2021-10-24,7,CIN,BAL,1,2021
2021-10-24,7,GNB,WAS,0,2021
2021-10-24,7,TEN,KAN,0,2021
2021-10-24,7,LAR,DET,0,2021
2021-10-24,7,LVR,PHI,0,2021
2021-10-24,7,TAM,CHI,0,2021
2021-10-24,7,ARI,HOU,0,2021
2021-10-24,7,IND,SFO,1,2021
2021-10-24,7,CAR,NYG,1,2021
2021-10-25,7,SEA,NOR,0,2021
2021-10-25,7,NOR,SEA,1,2021
2021-10-28,8,ARI,GNB,0,2021
2021-10-28,8,GNB,ARI,1,2021
2021-10-31,8,NOR,TAM,0,2021
2021-10-31,8,HOU,LAR,0,2021
2021-10-31,8,JAX,SEA,1,2021
2021-10-31,8,LAC,NWE,0,2021
2021-10-31,8,TAM,NOR,1,2021
2021-10-31,8,WAS,DEN,1,2021
2021-10-31,8,MIN,DAL,0,2021
2021-10-31,8,CLE,PIT,0,2021
2021-10-31,8,CIN,NYJ,1,2021
2021-10-31,8,CHI,SFO,0,2021
2021-10-31,8,MIA,BUF,1,2021
2021-10-31,8,ATL,CAR,0,2021
2021-10-31,8,DEN,WAS,0,2021
2021-10-31,8,IND,TEN,0,2021
2021-10-31,8,BUF,MIA,0,2021
2021-10-31,8,NWE,LAC,1,2021
2021-10-31,8,SEA,JAX,0,2021
2021-10-31,8,LAR,HOU,1,2021
2021-10-31,8,PHI,DET,1,2021
2021-10-31,8,TEN,IND,1,2021
2021-10-31,8,DET,PHI,0,2021
2021-10-31,8,PIT,CLE,1,2021
2021-10-31,8,NYJ,CIN,0,2021
2021-10-31,8,SFO,CHI,1,2021
2021-10-31,8,CAR,ATL,1,2021
2021-10-31,8,DAL,MIN,1,2021
2021-11-01,8,NYG,KAN,1,2021
2021-11-01,8,KAN,NYG,0,2021
2021-11-04,9,NYJ,IND,1,2021
2021-11-04,9,IND,NYJ,0,2021
2021-11-07,9,MIA,HOU,0,2021
2021-11-07,9,NYG,LVR,0,2021
2021-11-07,9,LAC,PHI,1,2021
2021-11-07,9,ARI,SFO,1,2021
2021-11-07,9,NWE,CAR,1,2021
2021-11-07,9,TEN,LAR,1,2021
2021-11-07,9,DEN,DAL,1,2021
2021-11-07,9,JAX,BUF,0,2021
2021-11-07,9,ATL,NOR,1,2021
2021-11-07,9,CLE,CIN,1,2021
2021-11-07,9,KAN,GNB,0,2021
2021-11-07,9,BAL,MIN,0,2021
2021-11-07,9,BUF,JAX,1,2021
2021-11-07,9,DAL,DEN,0,2021
2021-11-07,9,MIN,BAL,1,2021
2021-11-07,9,CAR,NWE,0,2021
2021-11-07,9,CIN,CLE,0,2021
2021-11-07,9,HOU,MIA,1,2021
2021-11-07,9,LVR,NYG,1,2021
2021-11-07,9,PHI,LAC,0,2021
2021-11-07,9,SFO,ARI,0,2021
2021-11-07,9,GNB,KAN,1,2021
2021-11-07,9,LAR,TEN,0,2021
2021-11-07,9,NOR,ATL,0,2021
2021-11-08,9,PIT,CHI,0,2021
2021-11-08,9,CHI,PIT,1,2021
2021-11-11,10,MIA,BAL,0,2021
2021-11-11,10,BAL,MIA,1,2021
2021-11-14,10,GNB,SEA,0,2021
2021-11-14,10,PHI,DEN,1,2021
2021-11-14,10,CAR,ARI,1,2021
2021-11-14,10,MIN,LAC,1,2021
2021-11-14,10,IND,JAX,0,2021
2021-11-14,10,NWE,CLE,0,2021
2021-11-14,10,WAS,TAM,0,2021
2021-11-14,10,TEN,NOR,0,2021
2021-11-14,10,PIT,DET,0,2021
2021-11-14,10,BUF,NYJ,1,2021
2021-11-14,10,DAL,ATL,0,2021
2021-11-14,10,KAN,LVR,1,2021
2021-11-14,10,LVR,KAN,0,2021
2021-11-14,10,TAM,WAS,1,2021
2021-11-14,10,ATL,DAL,1,2021
2021-11-14,10,NYJ,BUF,0,2021
2021-11-14,10,DET,PIT,1,2021
2021-11-14,10,NOR,TEN,1,2021
2021-11-14,10,CLE,NWE,1,2021
2021-11-14,10,LAC,MIN,0,2021
2021-11-14,10,JAX,IND,1,2021
2021-11-14,10,DEN,PHI,0,2021
2021-11-14,10,SEA,GNB,1,2021
2021-11-14,10,ARI,CAR,0,2021
2021-11-15,10,SFO,LAR,0,2021
2021-11-15,10,LAR,SFO,1,2021
2021-11-18,11,ATL,NWE,0,2021
2021-11-18,11,NWE,ATL,1,2021
2021-11-21,11,IND,BUF,1,2021
2021-11-21,11,BAL,CHI,1,2021
2021-11-21,11,SEA,ARI,0,2021
2021-11-21,11,HOU,TEN,1,2021
2021-11-21,11,DAL,KAN,1,2021
2021-11-21,11,SFO,JAX,1,2021
