week,opp,rushing_def_rank,receiving_def_rank,passing_def_rank,season_year
1,ARI,13.0,7.0,8.0,2021
1,ATL,30.0,11.0,20.0,2021
1,BAL,15.0,32.0,1.0,2021
1,BUF,6.0,4.0,5.0,2021
1,CAR,1.0,10.0,14.0,2021
1,CHI,12.0,22.0,26.0,2021
1,CIN,9.0,27.0,30.0,2021
1,CLE,10.0,29.0,28.0,2021
1,DAL,4.0,30.0,31.0,2021
1,DEN,7.0,12.0,11.0,2021
1,DET,25.0,24.0,24.0,2021
1,GNB,28.0,8.0,9.0,2021
1,HOU,8.0,26.0,27.0,2021
1,IND,23.0,20.0,22.0,2021
1,JAX,3.0,21.0,21.0,2021
1,KAN,31.0,19.0,19.0,2021
1,LAC,20.0,1.0,2.0,2021
1,LAR,27.0,5.0,6.0,2021
1,LVR,32.0,9.0,10.0,2021
1,MIA,19.0,17.0,16.0,2021
1,MIN,26.0,16.0,17.0,2021
1,NOR,2.0,3.0,4.0,2021
1,NWE,11.0,6.0,7.0,2021
1,NYG,29.0,18.0,18.0,2021
1,NYJ,21.0,15.0,15.0,2021
1,PHI,18.0,2.0,3.0,2021
1,PIT,17.0,14.0,12.0,2021
1,SEA,16.0,13.0,13.0,2021
1,SFO,22.0,28.0,29.0,2021
1,TAM,5.0,31.0,32.0,2021
1,TEN,24.0,25.0,25.0,2021
1,WAS,14.0,23.0,23.0,2021
2,ARI,20.0,13.0,13.0,2021
2,ATL,18.0,23.0,27.0,2021
2,BAL,12.0,32.0,5.0,2021
2,BUF,3.5,2.0,3.0,2021
2,CAR,1.0,4.0,6.0,2021
2,CHI,10.0,18.0,20.0,2021
2,CIN,13.0,11.0,14.0,2021
2,CLE,5.0,17.0,24.0,2021
2,DAL,6.0,31.0,32.0,2021
2,DEN,8.0,6.0,7.0,2021
2,DET,23.0,25.0,26.0,2021
2,GNB,21.0,12.0,12.0,2021
2,HOU,24.0,19.0,19.0,2021
2,IND,15.0,22.0,23.0,2021
2,JAX,3.5,26.0,28.0,2021
2,KAN,32.0,16.0,17.0,2021
2,LAC,30.0,3.0,4.0,2021
2,LAR,22.0,9.0,10.0,2021
2,LVR,19.0,14.0,16.0,2021
2,MIA,29.0,10.0,11.0,2021
2,MIN,26.0,29.0,30.0,2021
2,NOR,7.0,8.0,15.0,2021
2,NWE,11.0,5.0,8.0,2021
2,NYG,25.0,24.0,25.0,2021
2,NYJ,16.5,7.0,9.0,2021
2,PHI,14.0,1.0,2.0,2021
2,PIT,9.0,27.0,1.0,2021
2,SEA,31.0,21.0,22.0,2021
2,SFO,28.0,15.0,18.0,2021
2,TAM,2.0,30.0,31.0,2021
2,TEN,16.5,28.0,29.0,2021
2,WAS,27.0,20.0,21.0,2021
3,ARI,27.0,10.0,13.0,2021
3,ATL,18.0,20.0,25.0,2021
3,BAL,11.0,28.0,6.0,2021
3,BUF,7.0,4.0,7.0,2021
3,CAR,1.0,1.0,4.0,2021
3,CHI,17.0,12.0,18.0,2021
3,CIN,8.0,14.0,16.0,2021
3,CLE,3.0,5.0,11.0,2021
3,DAL,5.0,32.0,31.0,2021
3,DEN,2.0,3.0,3.0,2021
3,DET,19.0,25.0,27.0,2021
3,GNB,15.0,13.0,15.0,2021
3,HOU,25.0,16.0,19.0,2021
3,IND,23.0,18.0,20.0,2021
3,JAX,10.0,26.0,26.0,2021
3,KAN,32.0,19.0,21.0,2021
3,LAC,31.0,8.0,10.0,2021
3,LAR,13.0,23.0,22.0,2021
3,LVR,26.0,9.0,12.0,2021
3,MIA,29.0,21.0,1.0,2021
3,MIN,20.0,30.0,30.0,2021
3,NOR,4.0,11.0,14.0,2021
3,NWE,12.0,2.0,5.0,2021
3,NYG,14.0,24.0,24.0,2021
3,NYJ,22.0,7.0,9.0,2021
3,PHI,28.0,6.0,8.0,2021
3,PIT,9.0,17.0,2.0,2021
3,SEA,30.0,27.0,28.0,2021
3,SFO,21.0,15.0,17.0,2021
3,TAM,6.0,31.0,32.0,2021
3,TEN,16.0,22.0,23.0,2021
3,WAS,24.0,29.0,29.0,2021
4,ARI,21.0,12.0,15.0,2021
4,ATL,18.0,26.0,26.0,2021
4,BAL,11.0,23.0,4.0,2021
4,BUF,3.0,1.0,2.0,2021
4,CAR,7.0,2.0,7.0,2021
4,CHI,15.0,14.0,22.0,2021
4,CIN,12.0,8.0,12.0,2021
4,CLE,2.0,4.0,9.0,2021
4,DAL,6.0,30.0,31.0,2021
4,DEN,4.0,5.0,8.0,2021
4,DET,29.0,19.0,18.0,2021
4,GNB,13.0,13.0,16.0,2021
4,HOU,31.0,16.0,19.0,2021
4,IND,14.0,15.0,17.0,2021
4,JAX,8.0,28.0,28.0,2021
4,KAN,32.0,27.0,27.0,2021
4,LAC,22.0,6.0,1.0,2021
4,LAR,23.0,24.0,23.0,2021
4,LVR,28.0,10.0,11.0,2021
4,MIA,27.0,20.0,3.0,2021
4,MIN,24.0,17.0,21.0,2021
4,NOR,5.0,21.0,24.0,2021
4,NWE,16.0,3.0,6.0,2021
4,NYG,19.0,22.0,20.0,2021
4,NYJ,25.0,7.0,10.0,2021
4,PHI,30.0,9.0,13.0,2021
4,PIT,9.0,18.0,5.0,2021
4,SEA,26.0,29.0,29.0,2021
4,SFO,20.0,11.0,14.0,2021
4,TAM,1.0,32.0,32.0,2021
4,TEN,10.0,25.0,25.0,2021
4,WAS,17.0,31.0,30.0,2021
5,ARI,22.0,8.0,11.0,2021
5,ATL,14.0,17.0,22.0,2021
5,BAL,13.0,27.0,9.0,2021
5,BUF,2.0,2.0,1.0,2021
5,CAR,9.0,1.0,3.0,2021
5,CHI,11.0,10.0,8.0,2021
5,CIN,12.0,15.0,18.0,2021
5,CLE,3.0,12.0,17.0,2021
5,DAL,4.0,28.0,31.0,2021
5,DEN,5.0,4.0,6.0,2021
5,DET,24.0,19.0,20.0,2021
5,GNB,15.0,14.0,16.0,2021
5,HOU,30.0,16.0,19.0,2021
5,IND,10.0,26.0,27.0,2021
5,JAX,17.0,23.0,26.0,2021
5,KAN,32.0,25.0,28.0,2021
5,LAC,31.0,7.0,2.0,2021
5,LAR,20.0,22.0,23.0,2021
5,LVR,29.0,3.0,5.0,2021
5,MIA,27.0,31.0,13.0,2021
5,MIN,21.0,13.0,15.0,2021
5,NOR,6.0,18.0,21.0,2021
5,NWE,7.0,5.0,7.0,2021
5,NYG,25.0,24.0,25.0,2021
5,NYJ,23.0,11.0,14.0,2021
5,PHI,26.0,6.0,10.0,2021
5,PIT,8.0,21.0,4.0,2021
5,SEA,28.0,29.0,29.0,2021
5,SFO,19.0,9.0,12.0,2021
5,TAM,1.0,30.0,32.0,2021
5,TEN,18.0,20.0,24.0,2021
5,WAS,16.0,32.0,30.0,2021
6,ARI,22.0,8.0,12.0,2021
6,ATL,5.0,7.0,11.0,2021
6,BAL,9.0,24.0,7.0,2021
6,BUF,10.0,1.0,3.0,2021
6,CAR,16.0,4.0,9.0,2021
6,CHI,15.0,9.0,8.0,2021
6,CIN,11.0,14.0,16.0,2021
6,CLE,6.0,16.0,21.0,2021
6,DAL,8.0,29.0,31.0,2021
6,DEN,4.0,11.0,1.0,2021
6,DET,25.0,22.0,23.0,2021
6,GNB,18.0,13.0,15.0,2021
6,HOU,31.0,17.0,19.0,2021
6,IND,3.0,25.0,24.0,2021
6,JAX,14.0,30.0,28.0,2021
6,KAN,30.0,23.0,25.0,2021
6,LAC,32.0,5.0,2.0,2021
6,LAR,21.0,20.0,22.0,2021
6,LVR,26.0,12.0,14.0,2021
6,MIA,24.0,31.0,18.0,2021
6,MIN,23.0,15.0,17.0,2021
6,NOR,2.0,6.0,10.0,2021
6,NWE,7.0,18.0,20.0,2021
6,NYG,28.0,27.0,26.0,2021
6,NYJ,19.0,3.0,6.0,2021
6,PHI,27.0,10.0,13.0,2021
6,PIT,12.0,19.0,5.0,2021
6,SEA,29.0,28.0,29.0,2021
6,SFO,13.0,2.0,4.0,2021
6,TAM,1.0,21.0,30.0,2021
6,TEN,17.0,26.0,27.0,2021
6,WAS,20.0,32.0,32.0,2021
7,ARI,16.0,4.0,9.0,2021
7,ATL,9.0,11.0,14.0,2021
7,BAL,11.0,30.0,16.0,2021
7,BUF,4.0,1.0,1.0,2021
7,CAR,17.0,7.0,10.0,2021
7,CHI,21.0,13.0,11.0,2021
7,CIN,12.0,17.0,17.0,2021
7,CLE,5.0,15.0,19.0,2021
7,DAL,3.0,20.0,25.0,2021
7,DEN,13.0,9.0,4.0,2021
7,DET,23.0,29.0,30.0,2021
