date,team,opp,stadium_name,roof_type,is_outdoor,avg_windspeed,max_snow_depth,total_precip,avg_temp
2021-09-19,BAL,KAN,M&T Bank Stadium,Outdoor,1,15.2116,0.0,0.0,75.02
2021-09-20,DET,GNB,Lambeau Field,Outdoor,1,39.3712,0.0,0.5984255199999999,72.5
2021-09-20,GNB,DET,Lambeau Field,Outdoor,1,39.3712,0.0,0.5984255199999999,72.5
2021-09-23,CAR,HOU,NRG Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-09-23,HOU,CAR,NRG Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-09-26,LAR,TAM,SoFi Stadium,Outdoor,1,16.1064,0.0,0.0,64.75999999999999
2021-09-26,MIN,SEA,TCF Bank Stadium,Outdoor,1,14.540500000000002,0.0,0.0,62.24
2021-09-26,LVR,MIA,Allegiant Stadium,Indoor,0,0.0,0.0,0.0,75.0
2021-09-26,DEN,NYJ,Empower Field at Mile High,Outdoor,1,19.0145,0.0,0.0,73.94
2021-09-26,NOR,NWE,Gillette Stadium,Outdoor,1,24.607,0.0,0.50787429,66.56
2021-09-26,BAL,DET,Ford Field,Indoor,0,0.0,0.0,0.0,75.0
2021-09-26,ARI,JAX,TIAA Bank Field,Outdoor,1,13.6457,0.0,0.0,73.03999999999999
2021-09-26,TEN,IND,Nissan Stadium,Outdoor,1,8.948,0.0,0.0,66.74000000000001
2021-09-26,CIN,PIT,Heinz Field,Outdoor,1,26.6203,0.0,0.0,58.28
2021-09-26,CLE,CHI,FirstEnergy Stadium,Outdoor,1,41.608200000000004,0.0,0.0,63.5
2021-09-26,BUF,WAS,New Era Field,Outdoor,1,38.700100000000006,0.0,0.0,59.36
2021-09-26,ATL,NYG,MetLife Stadium,Outdoor,1,30.1995,0.0,0.0,64.4
2021-09-26,LAC,KAN,Arrowhead Stadium,Outdoor,1,46.977000000000004,0.0,0.0,75.56
2021-09-26,GNB,SFO,Levi's Stadium,Outdoor,1,23.9359,0.0,0.0,63.68000000000001
2021-09-26,SEA,MIN,TCF Bank Stadium,Outdoor,1,14.540500000000002,0.0,0.0,62.24
2021-09-26,NYG,ATL,MetLife Stadium,Outdoor,1,30.1995,0.0,0.0,64.4
2021-09-26,WAS,BUF,New Era Field,Outdoor,1,38.700100000000006,0.0,0.0,59.36
2021-09-26,CHI,CLE,FirstEnergy Stadium,Outdoor,1,41.608200000000004,0.0,0.0,63.5
2021-09-26,PIT,CIN,Heinz Field,Outdoor,1,26.6203,0.0,0.0,58.28
2021-09-26,IND,TEN,Nissan Stadium,Outdoor,1,8.948,0.0,0.0,66.74000000000001
2021-09-26,JAX,ARI,TIAA Bank Field,Outdoor,1,13.6457,0.0,0.0,73.03999999999999
2021-09-26,DET,BAL,Ford Field,Indoor,0,0.0,0.0,0.0,75.0
2021-09-26,KAN,LAC,Arrowhead Stadium,Outdoor,1,46.977000000000004,0.0,0.0,75.56
2021-09-26,NWE,NOR,Gillette Stadium,Outdoor,1,24.607,0.0,0.50787429,66.56
2021-09-26,NYJ,DEN,Empower Field at Mile High,Outdoor,1,19.0145,0.0,0.0,73.94
2021-09-26,SFO,GNB,Levi's Stadium,Outdoor,1,23.9359,0.0,0.0,63.68000000000001
2021-09-26,TAM,LAR,SoFi Stadium,Outdoor,1,16.1064,0.0,0.0,64.75999999999999
2021-09-26,MIA,LVR,Allegiant Stadium,Indoor,0,0.0,0.0,0.0,75.0
2021-09-27,PHI,DAL,AT&T Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-09-27,DAL,PHI,AT&T Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-09-30,JAX,CIN,Paul Brown Stadium,Outdoor,1,6.9347,0.0,0.0,63.31999999999999
2021-09-30,CIN,JAX,Paul Brown Stadium,Outdoor,1,6.9347,0.0,0.0,63.31999999999999
2021-10-03,PIT,GNB,Lambeau Field,Outdoor,1,14.540500000000002,0.0,0.20078750999999997,65.12
2021-10-03,LAR,ARI,SoFi Stadium,Outdoor,1,10.961300000000001,0.0,0.0,73.94
2021-10-03,NWE,TAM,Gillette Stadium,Outdoor,1,10.066500000000001,0.0,0.08661422,59.72
2021-10-03,TEN,NYJ,MetLife Stadium,Outdoor,1,7.3821,0.0,0.0,67.28
2021-10-03,NOR,NYG,Mercedes-Benz Superdome,Indoor,0,0.0,0.0,0.0,75.0
2021-10-03,PHI,KAN,Lincoln Financial Field,Outdoor,1,17.0012,0.0,0.0,68.9
2021-10-03,MIA,IND,Hard Rock Stadium,Outdoor,1,34.0024,0.0,0.01968505,80.6
2021-10-03,MIN,CLE,TCF Bank Stadium,Outdoor,1,25.0544,0.0,0.0,62.6
2021-10-03,DET,CHI,Soldier Field,Outdoor,1,19.9093,0.0,0.01968505,71.06
2021-10-03,CAR,DAL,AT&T Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-03,HOU,BUF,New Era Field,Outdoor,1,21.027800000000003,0.0,1.83858367,65.66
2021-10-03,ATL,WAS,Mercedes-Benz Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-03,DEN,BAL,Empower Field at Mile High,Outdoor,1,15.2116,0.0,0.0,58.64
