date,week,team,opp,is_away,season_year
2019-09-05,1,GNB,CHI,1,2019
2019-09-05,1,CHI,GNB,0,2019
2019-09-08,1,ATL,MIN,1,2019
2019-09-08,1,NYJ,BUF,0,2019
2019-09-08,1,CAR,LAR,0,2019
2019-09-08,1,CLE,TEN,0,2019
2019-09-08,1,JAX,KAN,0,2019
2019-09-08,1,MIA,BAL,0,2019
2019-09-08,1,WAS,PHI,1,2019
2019-09-08,1,CIN,SEA,1,2019
2019-09-08,1,IND,LAC,1,2019
2019-09-08,1,ARI,DET,0,2019
2019-09-08,1,TAM,SFO,0,2019
2019-09-08,1,PIT,NWE,1,2019
2019-09-08,1,NYG,DAL,1,2019
2019-09-08,1,KAN,JAX,1,2019
2019-09-08,1,MIN,ATL,0,2019
2019-09-08,1,BUF,NYJ,1,2019
2019-09-08,1,LAR,CAR,1,2019
2019-09-08,1,TEN,CLE,1,2019
2019-09-08,1,NWE,PIT,0,2019
2019-09-08,1,SFO,TAM,1,2019
2019-09-08,1,BAL,MIA,1,2019
2019-09-08,1,DAL,NYG,0,2019
2019-09-08,1,DET,ARI,1,2019
2019-09-08,1,LAC,IND,0,2019
2019-09-08,1,SEA,CIN,0,2019
2019-09-08,1,PHI,WAS,0,2019
2019-09-09,1,NOR,HOU,0,2019
2019-09-09,1,OAK,DEN,0,2019
2019-09-09,1,HOU,NOR,1,2019
2019-09-09,1,DEN,OAK,1,2019
2019-09-12,2,CAR,TAM,0,2019
2019-09-12,2,TAM,CAR,1,2019
2019-09-15,2,NOR,LAR,1,2019
2019-09-15,2,DEN,CHI,0,2019
2019-09-15,2,OAK,KAN,0,2019
2019-09-15,2,PIT,SEA,0,2019
2019-09-15,2,MIA,NWE,0,2019
2019-09-15,2,MIN,GNB,1,2019
2019-09-15,2,PHI,ATL,1,2019
2019-09-15,2,LAC,DET,1,2019
2019-09-15,2,WAS,DAL,0,2019
2019-09-15,2,ARI,BAL,1,2019
2019-09-15,2,NYG,BUF,0,2019
2019-09-15,2,JAX,HOU,1,2019
2019-09-15,2,CIN,SFO,0,2019
2019-09-15,2,TEN,IND,0,2019
2019-09-15,2,BUF,NYG,1,2019
2019-09-15,2,LAR,NOR,0,2019
2019-09-15,2,CHI,DEN,1,2019
2019-09-15,2,KAN,OAK,1,2019
2019-09-15,2,SEA,PIT,1,2019
2019-09-15,2,NWE,MIA,1,2019
2019-09-15,2,ATL,PHI,0,2019
2019-09-15,2,GNB,MIN,0,2019
2019-09-15,2,HOU,JAX,0,2019
2019-09-15,2,IND,TEN,1,2019
2019-09-15,2,SFO,CIN,1,2019
2019-09-15,2,DAL,WAS,1,2019
2019-09-15,2,DET,LAC,0,2019
2019-09-15,2,BAL,ARI,0,2019
2019-09-16,2,CLE,NYJ,1,2019
2019-09-16,2,NYJ,CLE,0,2019
2019-09-19,3,JAX,TEN,0,2019
2019-09-19,3,TEN,JAX,1,2019
2019-09-22,3,MIN,OAK,0,2019
2019-09-22,3,BUF,CIN,0,2019
2019-09-22,3,DAL,MIA,0,2019
2019-09-22,3,GNB,DEN,0,2019
2019-09-22,3,DET,PHI,1,2019
2019-09-22,3,KAN,BAL,0,2019
2019-09-22,3,IND,ATL,0,2019
2019-09-22,3,NWE,NYJ,0,2019
2019-09-22,3,HOU,LAC,1,2019
2019-09-22,3,CLE,LAR,0,2019
2019-09-22,3,PIT,SFO,1,2019
2019-09-22,3,SEA,NOR,0,2019
2019-09-22,3,LAC,HOU,0,2019
2019-09-22,3,TAM,NYG,0,2019
2019-09-22,3,ARI,CAR,0,2019
2019-09-22,3,CAR,ARI,1,2019
2019-09-22,3,OAK,MIN,1,2019
2019-09-22,3,NYJ,NWE,1,2019
2019-09-22,3,PHI,DET,0,2019
2019-09-22,3,DEN,GNB,1,2019
2019-09-22,3,MIA,DAL,1,2019
2019-09-22,3,CIN,BUF,1,2019
2019-09-22,3,ATL,IND,1,2019
2019-09-22,3,LAR,CLE,1,2019
2019-09-22,3,SFO,PIT,0,2019
2019-09-22,3,NOR,SEA,1,2019
2019-09-22,3,BAL,KAN,1,2019
2019-09-22,3,NYG,TAM,1,2019
2019-09-23,3,WAS,CHI,0,2019
2019-09-23,3,CHI,WAS,1,2019
2019-09-26,4,GNB,PHI,0,2019
2019-09-26,4,PHI,GNB,1,2019
2019-09-29,4,ATL,TEN,0,2019
2019-09-29,4,JAX,DEN,1,2019
2019-09-29,4,CHI,MIN,0,2019
2019-09-29,4,TAM,LAR,1,2019
2019-09-29,4,SEA,ARI,1,2019
2019-09-29,4,NYG,WAS,0,2019
2019-09-29,4,LAC,MIA,1,2019
2019-09-29,4,KAN,DET,1,2019
2019-09-29,4,OAK,IND,1,2019
2019-09-29,4,CLE,BAL,1,2019
2019-09-29,4,CAR,HOU,1,2019
2019-09-29,4,NWE,BUF,1,2019
2019-09-29,4,NOR,DAL,0,2019
2019-09-29,4,BUF,NWE,0,2019
2019-09-29,4,BAL,CLE,0,2019
2019-09-29,4,IND,OAK,0,2019
2019-09-29,4,DET,KAN,0,2019
2019-09-29,4,TEN,ATL,1,2019
2019-09-29,4,MIA,LAC,0,2019
2019-09-29,4,WAS,NYG,1,2019
2019-09-29,4,ARI,SEA,0,2019
2019-09-29,4,LAR,TAM,0,2019
2019-09-29,4,MIN,CHI,1,2019
2019-09-29,4,DEN,JAX,0,2019
2019-09-29,4,DAL,NOR,1,2019
2019-09-29,4,HOU,CAR,0,2019
2019-09-30,4,PIT,CIN,0,2019
2019-09-30,4,CIN,PIT,1,2019
2019-10-03,5,LAR,SEA,1,2019
2019-10-03,5,SEA,LAR,0,2019
