date,team,opp,stadium_name,is_outdoor,avg_windspeed,max_snow_depth,total_precip,avg_temp
2019-09-05,GNB,CHI,Soldier Field,1,17.896,0.0,0.0,65.12
2019-09-05,CHI,GNB,Soldier Field,1,17.896,0.0,0.0,65.12
2019-09-08,ATL,MIN,TCF Bank Stadium,1,23.488500000000002,0.0,0.1181103,56.84
2019-09-08,NYJ,BUF,MetLife Stadium,1,16.1064,0.0,0.0,69.62
2019-09-08,CAR,LAR,Bank of America Stadium,1,21.027800000000003,0.0,0.0,80.78
2019-09-08,CLE,TEN,FirstEnergy Stadium,1,35.3446,0.0,0.0,68.36
2019-09-08,JAX,KAN,TIAA Bank Field,1,13.6457,0.0,0.0,82.4
2019-09-08,MIA,BAL,Hard Rock Stadium,1,21.6989,0.0,0.0,86.36
2019-09-08,WAS,PHI,Lincoln Financial Field,1,18.567100000000003,0.0,0.0,72.14
2019-09-08,CIN,SEA,CenturyLink Field,1,27.7388,0.0,0.0393701,63.86
2019-09-08,IND,LAC,SoFi Stadium,1,16.553800000000003,0.0,0.0,70.52
2019-09-08,ARI,DET,State Farm Stadium,0,0.0,0.0,0.0,75.0
2019-09-08,TAM,SFO,Raymond James Stadium,1,12.9746,0.0,0.0,83.84
2019-09-08,PIT,NWE,Gillette Stadium,1,20.133000000000003,0.0,0.0,66.02
2019-09-08,NYG,DAL,AT&T Stadium,0,0.0,0.0,0.0,75.0
2019-09-08,KAN,JAX,TIAA Bank Field,1,13.6457,0.0,0.0,82.4
2019-09-08,MIN,ATL,TCF Bank Stadium,1,23.488500000000002,0.0,0.1181103,56.84
2019-09-08,BUF,NYJ,MetLife Stadium,1,16.1064,0.0,0.0,69.62
2019-09-08,LAR,CAR,Bank of America Stadium,1,21.027800000000003,0.0,0.0,80.78
2019-09-08,TEN,CLE,FirstEnergy Stadium,1,35.3446,0.0,0.0,68.36
2019-09-08,NWE,PIT,Gillette Stadium,1,20.133000000000003,0.0,0.0,66.02
2019-09-08,SFO,TAM,Raymond James Stadium,1,12.9746,0.0,0.0,83.84
2019-09-08,BAL,MIA,Hard Rock Stadium,1,21.6989,0.0,0.0,86.36
2019-09-08,DAL,NYG,AT&T Stadium,0,0.0,0.0,0.0,75.0
2019-09-08,DET,ARI,State Farm Stadium,0,0.0,0.0,0.0,75.0
2019-09-08,LAC,IND,SoFi Stadium,1,16.553800000000003,0.0,0.0,70.52
2019-09-08,SEA,CIN,CenturyLink Field,1,27.7388,0.0,0.0393701,63.86
2019-09-08,PHI,WAS,Lincoln Financial Field,1,18.567100000000003,0.0,0.0,72.14
2019-09-09,NOR,HOU,Mercedes-Benz Superdome,0,0.0,0.0,0.0,75.0
2019-09-09,OAK,DEN,Oakland Coliseum,1,45.8585,0.0,0.0,66.2
2019-09-09,HOU,NOR,Mercedes-Benz Superdome,0,0.0,0.0,0.0,75.0
2019-09-09,DEN,OAK,Oakland Coliseum,1,45.8585,0.0,0.0,66.2
2019-09-12,CAR,TAM,Bank of America Stadium,1,15.2116,0.0,0.0,84.02
2019-09-12,TAM,CAR,Bank of America Stadium,1,15.2116,0.0,0.0,84.02
2019-09-15,NOR,LAR,SoFi Stadium,1,13.198300000000001,0.0,0.0,71.42
2019-09-15,DEN,CHI,Empower Field at Mile High,1,27.962500000000002,0.0,0.0,72.32
2019-09-15,OAK,KAN,Oakland Coliseum,1,37.805299999999995,0.0,0.0,65.84
2019-09-15,PIT,SEA,Heinz Field,1,5.5925,0.0,0.0,65.84
2019-09-15,MIA,NWE,Hard Rock Stadium,1,28.857300000000002,0.0,0.01968505,85.1
2019-09-15,MIN,GNB,Lambeau Field,1,13.6457,0.0,0.0,65.84
2019-09-15,PHI,ATL,Mercedes-Benz Stadium,0,0.0,0.0,0.0,75.0
2019-09-15,LAC,DET,Ford Field,0,0.0,0.0,0.0,75.0
2019-09-15,WAS,DAL,FedExField,1,18.7908,0.0,0.0,76.46000000000001
2019-09-15,ARI,BAL,M&T Bank Stadium,1,13.6457,0.0,0.0,78.62
2019-09-15,NYG,BUF,MetLife Stadium,1,12.750900000000001,0.0,0.0,73.94
2019-09-15,JAX,HOU,NRG Stadium,0,0.0,0.0,0.0,75.0
2019-09-15,CIN,SFO,Paul Brown Stadium,1,5.5925,0.0,0.0,69.44
2019-09-15,TEN,IND,Nissan Stadium,1,8.948,0.0,0.0,80.42
2019-09-15,BUF,NYG,MetLife Stadium,1,12.750900000000001,0.0,0.0,73.94
2019-09-15,LAR,NOR,SoFi Stadium,1,13.198300000000001,0.0,0.0,71.42
2019-09-15,CHI,DEN,Empower Field at Mile High,1,27.962500000000002,0.0,0.0,72.32
2019-09-15,KAN,OAK,Oakland Coliseum,1,37.805299999999995,0.0,0.0,65.84
2019-09-15,SEA,PIT,Heinz Field,1,5.5925,0.0,0.0,65.84
2019-09-15,NWE,MIA,Hard Rock Stadium,1,28.857300000000002,0.0,0.01968505,85.1
2019-09-15,ATL,PHI,Mercedes-Benz Stadium,0,0.0,0.0,0.0,75.0
