team,opp,projected_off_pts,date,season_year
CHI,GNB,25,2019-09-05,2019
GNB,CHI,21,2019-09-05,2019
MIN,ATL,26,2019-09-08,2019
ATL,MIN,22,2019-09-08,2019
PHI,WAS,27,2019-09-08,2019
WAS,PHI,19,2019-09-08,2019
NYJ,BUF,21,2019-09-08,2019
BUF,NYJ,18,2019-09-08,2019
BAL,MIA,20,2019-09-08,2019
MIA,BAL,16,2019-09-08,2019
TAM,SFO,25,2019-09-08,2019
SFO,TAM,24,2019-09-08,2019
KAN,JAX,29,2019-09-08,2019
JAX,KAN,24,2019-09-08,2019
CLE,TEN,25,2019-09-08,2019
TEN,CLE,20,2019-09-08,2019
LAR,CAR,27,2019-09-08,2019
CAR,LAR,24,2019-09-08,2019
DET,ARI,24,2019-09-08,2019
ARI,DET,24,2019-09-08,2019
SEA,CIN,26,2019-09-08,2019
CIN,SEA,18,2019-09-08,2019
LAC,IND,26,2019-09-08,2019
IND,LAC,22,2019-09-08,2019
DAL,NYG,26,2019-09-08,2019
NYG,DAL,20,2019-09-08,2019
NWE,PIT,29,2019-09-08,2019
PIT,NWE,23,2019-09-08,2019
NOR,HOU,31,2019-09-09,2019
HOU,NOR,23,2019-09-09,2019
DEN,OAK,23,2019-09-09,2019
OAK,DEN,20,2019-09-09,2019
CAR,TAM,28,2019-09-12,2019
TAM,CAR,22,2019-09-12,2019
TEN,IND,24,2019-09-15,2019
IND,TEN,20,2019-09-15,2019
LAC,DET,24,2019-09-15,2019
DET,LAC,24,2019-09-15,2019
BUF,NYG,22,2019-09-15,2019
NYG,BUF,22,2019-09-15,2019
BAL,ARI,27,2019-09-15,2019
ARI,BAL,15,2019-09-15,2019
NWE,MIA,31,2019-09-15,2019
MIA,NWE,16,2019-09-15,2019
DAL,WAS,24,2019-09-15,2019
WAS,DAL,20,2019-09-15,2019
HOU,JAX,26,2019-09-15,2019
JAX,HOU,18,2019-09-15,2019
PIT,SEA,25,2019-09-15,2019
SEA,PIT,22,2019-09-15,2019
SFO,CIN,22,2019-09-15,2019
CIN,SFO,22,2019-09-15,2019
GNB,MIN,24,2019-09-15,2019
MIN,GNB,22,2019-09-15,2019
KAN,OAK,30,2019-09-15,2019
OAK,KAN,22,2019-09-15,2019
LAR,NOR,28,2019-09-15,2019
NOR,LAR,26,2019-09-15,2019
CHI,DEN,22,2019-09-15,2019
DEN,CHI,20,2019-09-15,2019
PHI,ATL,26,2019-09-15,2019
ATL,PHI,26,2019-09-15,2019
CLE,NYJ,24,2019-09-16,2019
NYJ,CLE,22,2019-09-16,2019
TEN,JAX,22,2019-09-19,2019
JAX,TEN,19,2019-09-19,2019
GNB,DEN,25,2019-09-22,2019
DEN,GNB,18,2019-09-22,2019
PHI,DET,28,2019-09-22,2019
DET,PHI,21,2019-09-22,2019
KAN,BAL,28,2019-09-22,2019
BAL,KAN,23,2019-09-22,2019
BUF,CIN,22,2019-09-22,2019
CIN,BUF,18,2019-09-22,2019
IND,ATL,25,2019-09-22,2019
ATL,IND,23,2019-09-22,2019
MIN,OAK,25,2019-09-22,2019
OAK,MIN,18,2019-09-22,2019
NWE,NYJ,34,2019-09-22,2019
NYJ,NWE,12,2019-09-22,2019
DAL,MIA,32,2019-09-22,2019
MIA,DAL,15,2019-09-22,2019
TAM,NYG,27,2019-09-22,2019
NYG,TAM,22,2019-09-22,2019
ARI,CAR,24,2019-09-22,2019
CAR,ARI,20,2019-09-22,2019
SEA,NOR,26,2019-09-22,2019
NOR,SEA,24,2019-09-22,2019
LAC,HOU,26,2019-09-22,2019
HOU,LAC,23,2019-09-22,2019
PIT,SFO,23,2019-09-22,2019
SFO,PIT,23,2019-09-22,2019
LAR,CLE,27,2019-09-22,2019
CLE,LAR,24,2019-09-22,2019
CHI,WAS,23,2019-09-23,2019
WAS,CHI,19,2019-09-23,2019
GNB,PHI,26,2019-09-26,2019
PHI,GNB,22,2019-09-26,2019
HOU,CAR,26,2019-09-29,2019
CAR,HOU,22,2019-09-29,2019
BAL,CLE,26,2019-09-29,2019
CLE,BAL,21,2019-09-29,2019
NYG,WAS,24,2019-09-29,2019
WAS,NYG,22,2019-09-29,2019
LAC,MIA,31,2019-09-29,2019
MIA,LAC,14,2019-09-29,2019
IND,OAK,25,2019-09-29,2019
OAK,IND,19,2019-09-29,2019
KAN,DET,30,2019-09-29,2019
DET,KAN,24,2019-09-29,2019
NWE,BUF,25,2019-09-29,2019
BUF,NWE,19,2019-09-29,2019
ATL,TEN,26,2019-09-29,2019
TEN,ATL,21,2019-09-29,2019
LAR,TAM,30,2019-09-29,2019
TAM,LAR,20,2019-09-29,2019
SEA,ARI,25,2019-09-29,2019
ARI,SEA,21,2019-09-29,2019
MIN,CHI,20,2019-09-29,2019
CHI,MIN,20,2019-09-29,2019
DEN,JAX,20,2019-09-29,2019
JAX,DEN,18,2019-09-29,2019
DAL,NOR,24,2019-09-29,2019
NOR,DAL,21,2019-09-29,2019
PIT,CIN,24,2019-09-30,2019
CIN,PIT,20,2019-09-30,2019
SEA,LAR,25,2019-10-03,2019
LAR,SEA,23,2019-10-03,2019
BAL,PIT,23,2019-10-06,2019
PIT,BAL,20,2019-10-06,2019
CHI,OAK,24,2019-10-06,2019
OAK,CHI,17,2019-10-06,2019
CIN,ARI,26,2019-10-06,2019
ARI,CIN,22,2019-10-06,2019
CAR,JAX,23,2019-10-06,2019
JAX,CAR,19,2019-10-06,2019
MIN,NYG,26,2019-10-06,2019
NYG,MIN,20,2019-10-06,2019
NWE,WAS,30,2019-10-06,2019
WAS,NWE,17,2019-10-06,2019
PHI,NYJ,29,2019-10-06,2019
NYJ,PHI,15,2019-10-06,2019
