name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Lamar Jackson,BAL,QB,3,DET,19.4,28.6,225.0,1.8,0.6,14.91,71.6,0.5,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,3,JAX,25.4,35.9,284.4,2.0,0.8,6.8,41.5,0.5,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,3,LAC,26.8,36.5,310.3,2.4,0.5,3.93,18.9,0.2,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,3,WAS,23.8,34.5,263.9,2.0,0.7,5.9,34.2,0.4,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,3,MIN,23.9,34.2,287.6,2.2,0.7,5.56,26.7,0.1,0.0,0.0,0.0,0.0
Jalen Hurts,PHI,QB,3,DAL,20.9,34.9,246.9,1.6,0.7,10.43,50.1,0.4,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,3,PHI,25.7,36.8,298.3,2.1,0.7,3.2,16.7,0.2,0.0,0.0,0.0,0.0
Justin Herbert,LAC,QB,3,KC,25.4,38.4,289.8,1.9,0.8,4.0,18.2,0.2,0.0,0.0,0.0,0.0
Tom Brady,TB,QB,3,LAR,25.1,38.4,296.6,2.3,0.8,0.8,1.3,0.1,0.0,0.0,0.0,0.0
Matthew Stafford,LAR,QB,3,TB,24.7,37.4,299.6,2.0,0.7,2.0,5.8,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,3,ATL,22.4,34.0,245.7,1.6,0.9,6.0,35.9,0.3,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,3,SF,22.7,34.6,269.4,2.0,0.5,2.4,10.3,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,3,IND,20.8,31.0,262.6,1.8,0.6,3.2,17.6,0.2,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,3,SEA,23.1,34.3,275.9,2.0,0.8,1.9,9.6,0.1,0.0,0.0,0.0,0.0
Sam Darnold,CAR,QB,3,HOU,23.5,35.4,271.1,1.7,0.7,2.9,13.0,0.2,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,3,MIA,23.6,35.9,287.3,1.8,0.7,2.4,7.9,0.1,0.0,0.0,0.0,0.0
Teddy Bridgewater,DEN,QB,3,NYJ,23.3,33.7,250.9,1.7,0.6,3.5,14.1,0.2,0.0,0.0,0.0,0.0
Justin Fields,CHI,QB,3,CLE,19.6,32.6,219.0,1.3,0.9,8.1,42.0,0.3,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,3,CHI,21.4,31.7,259.9,1.6,0.7,2.9,9.4,0.1,0.0,0.0,0.0,0.0
Trevor Lawrence,JAX,QB,3,ARI,22.0,35.5,244.7,1.7,0.9,2.4,12.2,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,3,NYG,24.8,37.9,273.0,1.7,0.8,1.7,4.9,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,3,CIN,23.6,36.3,257.3,1.9,0.8,0.7,1.1,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,3,GB,21.3,31.2,248.4,1.7,0.8,1.9,6.0,0.1,0.0,0.0,0.0,0.0
Joe Burrow,CIN,QB,3,PIT,22.8,37.0,244.9,1.6,0.8,2.4,9.3,0.1,0.0,0.0,0.0,0.0
Jared Goff,DET,QB,3,BAL,23.7,38.1,259.3,1.5,0.9,2.0,7.3,0.1,0.0,0.0,0.0,0.0
Carson Wentz,IND,QB,3,TEN,21.8,34.8,242.2,1.5,0.9,3.1,13.5,0.1,0.0,0.0,0.0,0.0
Taylor Heinicke,WAS,QB,3,BUF,21.4,36.1,234.1,1.5,0.8,2.6,12.6,0.1,0.0,0.0,0.0,0.0
Jameis Winston,NO,QB,3,NE,19.8,32.4,228.5,1.5,1.1,3.8,16.1,0.2,0.0,0.0,0.0,0.0
Jacoby Brissett,MIA,QB,3,LV,19.9,33.1,226.4,1.3,0.8,3.5,15.5,0.2,0.0,0.0,0.0,0.0
Mac Jones,NE,QB,3,NO,21.8,34.6,244.7,1.5,0.8,1.9,4.8,0.0,0.0,0.0,0.0,0.0
Zach Wilson,NYJ,QB,3,DEN,19.5,34.9,216.7,1.2,1.3,3.1,13.6,0.1,0.0,0.0,0.0,0.0
Davis Mills,HOU,QB,3,CAR,19.0,34.1,217.0,1.2,1.1,2.9,6.9,0.1,0.0,0.0,0.0,0.0
Trey Lance,SF,QB,3,GB,1.5,2.6,18.0,0.1,0.1,1.8,9.8,0.1,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,3,NE,1.1,1.9,11.4,0.1,0.0,2.3,12.2,0.1,0.0,0.0,0.0,0.0
Jacob Eason,IND,QB,3,TEN,2.7,3.3,27.4,0.1,0.1,0.3,0.5,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,RB,3,HOU,0.0,0.0,0.0,0.0,0.0,20.6,90.8,0.8,7.5,5.9,53.1,0.3
Derrick Henry,TEN,RB,3,IND,0.0,0.0,0.0,0.0,0.0,22.1,98.0,0.9,2.7,2.3,16.7,0.1
Nick Chubb,CLE,RB,3,CHI,0.0,0.0,0.0,0.0,0.0,15.8,83.9,0.8,2.1,1.7,14.6,0.1
Alvin Kamara,NO,RB,3,NE,0.0,0.0,0.0,0.0,0.0,13.2,64.5,0.5,5.9,5.1,41.2,0.2
Aaron Jones,GB,RB,3,SF,0.0,0.0,0.0,0.0,0.0,14.8,68.8,0.5,4.6,3.9,29.7,0.2
Jonathan Taylor,IND,RB,3,TEN,0.0,0.0,0.0,0.0,0.0,15.9,71.3,0.6,3.7,2.9,24.0,0.1
Austin Ekeler,LAC,RB,3,KC,0.0,0.0,0.0,0.0,0.0,12.8,59.5,0.4,6.2,5.0,38.4,0.2
Najee Harris,PIT,RB,3,CIN,0.0,0.0,0.0,0.0,0.0,16.6,63.9,0.5,4.7,3.3,24.5,0.2
Chris Carson,SEA,RB,3,MIN,0.0,0.0,0.0,0.0,0.0,14.6,67.2,0.6,3.2,2.6,20.1,0.1
David Montgomery,CHI,RB,3,CLE,0.0,0.0,0.0,0.0,0.0,17.4,71.5,0.5,3.1,2.4,19.9,0.1
Joe Mixon,CIN,RB,3,PIT,0.0,0.0,0.0,0.0,0.0,19.4,75.0,0.4,4.0,3.2,22.4,0.1
Antonio Gibson,WAS,RB,3,BUF,0.0,0.0,0.0,0.0,0.0,16.8,73.3,0.5,3.7,2.7,17.6,0.1
Saquon Barkley,NYG,RB,3,ATL,0.0,0.0,0.0,0.0,0.0,16.8,65.6,0.5,4.5,3.0,22.1,0.1
Ezekiel Elliott,DAL,RB,3,PHI,0.0,0.0,0.0,0.0,0.0,15.4,63.7,0.5,3.6,3.0,22.8,0.1
Alexander Mattison,MIN,RB,3,SEA,0.0,0.0,0.0,0.0,0.0,16.6,68.6,0.5,2.3,2.1,17.0,0.1
Miles Sanders,PHI,RB,3,DAL,0.0,0.0,0.0,0.0,0.0,12.8,60.9,0.4,3.9,2.9,24.4,0.1
Clyde Edwards-Helaire,KC,RB,3,LAC,0.0,0.0,0.0,0.0,0.0,15.0,63.1,0.4,3.3,2.5,20.1,0.1
Trey Sermon,SF,RB,3,GB,0.0,0.0,0.0,0.0,0.0,14.0,63.6,0.5,2.1,1.6,13.3,0.1
Damien Harris,NE,RB,3,NO,0.0,0.0,0.0,0.0,0.0,17.8,75.1,0.5,1.6,1.0,7.7,0.0
D'Andre Swift,DET,RB,3,BAL,0.0,0.0,0.0,0.0,0.0,10.0,42.9,0.3,5.7,4.4,39.4,0.2
James Robinson,JAX,RB,3,ARI,0.0,0.0,0.0,0.0,0.0,12.5,55.5,0.4,4.2,3.2,22.9,0.1
Ty'Son Williams,BAL,RB,3,DET,0.0,0.0,0.0,0.0,0.0,10.5,57.8,0.4,2.4,2.2,18.3,0.1
Melvin Gordon,DEN,RB,3,NYJ,0.0,0.0,0.0,0.0,0.0,12.4,58.3,0.5,2.5,2.2,15.3,0.0
Leonard Fournette,TB,RB,3,LAR,0.0,0.0,0.0,0.0,0.0,13.2,49.7,0.4,4.5,3.7,23.7,0.1
Sony Michel,LAR,RB,3,TB,0.0,0.0,0.0,0.0,0.0,13.8,58.3,0.4,1.9,1.8,14.1,0.1
Myles Gaskin,MIA,RB,3,LV,0.0,0.0,0.0,0.0,0.0,11.0,48.9,0.3,4.3,3.5,28.7,0.1
Chase Edmonds,ARI,RB,3,JAX,0.0,0.0,0.0,0.0,0.0,9.8,44.5,0.2,4.5,3.9,32.1,0.2
Mike Davis,ATL,RB,3,NYG,0.0,0.0,0.0,0.0,0.0,12.4,50.9,0.3,5.2,4.0,24.9,0.1
Kareem Hunt,CLE,RB,3,CHI,0.0,0.0,0.0,0.0,0.0,10.1,42.7,0.3,3.0,2.4,19.4,0.2
Devin Singletary,BUF,RB,3,WAS,0.0,0.0,0.0,0.0,0.0,12.8,54.0,0.2,3.1,2.4,15.4,0.1
Kenyan Drake,LV,RB,3,MIA,0.0,0.0,0.0,0.0,0.0,9.6,38.0,0.3,4.3,3.4,24.1,0.1
