name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Kyler Murray,ARI,QB,2,MIN,23.8,34.9,270.0,2.0,0.8,9.08,43.6,0.5,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,2,BAL,26.8,37.8,310.9,2.3,0.5,3.6,18.4,0.2,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,2,MIA,24.6,35.9,283.0,2.0,0.7,5.9,32.1,0.4,0.0,0.0,0.0,0.0
Tom Brady,TB,QB,2,ATL,28.2,39.5,324.2,2.5,0.6,0.8,1.5,0.2,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,2,DET,25.9,35.8,299.4,2.4,0.5,2.3,12.1,0.2,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,2,KC,19.3,30.1,220.0,1.7,0.7,13.52,64.9,0.4,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,2,TEN,25.1,35.0,289.9,2.3,0.7,5.93,28.5,0.1,0.0,0.0,0.0,0.0
Justin Herbert,LAC,QB,2,DAL,26.6,38.0,292.8,2.1,0.8,4.1,18.8,0.2,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,2,LAC,25.9,38.7,299.7,2.0,0.8,3.9,19.6,0.2,0.0,0.0,0.0,0.0
Jalen Hurts,PHI,QB,2,SF,20.3,32.9,226.9,1.5,0.7,9.64,46.3,0.4,0.0,0.0,0.0,0.0
Matthew Stafford,LAR,QB,2,IND,24.2,36.9,301.3,1.9,0.7,2.3,7.0,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,2,HOU,23.0,32.1,266.8,2.0,0.7,2.9,10.8,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,2,SEA,20.0,30.9,248.0,1.7,0.6,3.2,16.9,0.3,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,2,ARI,23.1,34.5,279.9,1.9,0.8,1.9,7.8,0.1,0.0,0.0,0.0,0.0
Joe Burrow,CIN,QB,2,CHI,24.2,38.1,272.3,1.8,0.7,2.2,9.2,0.1,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,2,LV,25.5,38.5,278.2,2.1,0.8,1.1,1.3,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,DEN,QB,2,JAX,23.3,35.1,255.0,1.7,0.9,3.5,15.8,0.2,0.0,0.0,0.0,0.0
Jameis Winston,NO,QB,2,CAR,22.3,34.4,259.8,1.8,1.1,3.3,14.1,0.1,0.0,0.0,0.0,0.0
Trevor Lawrence,JAX,QB,2,DEN,22.0,35.4,241.9,1.7,0.8,3.2,14.8,0.1,0.0,0.0,0.0,0.0
Mac Jones,NE,QB,2,NYJ,23.6,35.5,259.8,1.6,0.7,2.1,5.9,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,2,PIT,21.2,34.8,262.0,1.6,0.8,2.1,6.8,0.1,0.0,0.0,0.0,0.0
Sam Darnold,CAR,QB,2,NO,21.0,35.4,251.2,1.5,1.0,3.0,12.2,0.2,0.0,0.0,0.0,0.0
Tua Tagovailoa,MIA,QB,2,BUF,22.6,36.2,243.3,1.6,0.9,3.1,13.4,0.1,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,2,PHI,20.9,31.1,247.9,1.7,0.7,1.5,3.9,0.1,0.0,0.0,0.0,0.0
Carson Wentz,IND,QB,2,LAR,21.7,35.3,230.7,1.5,0.9,3.7,15.6,0.2,0.0,0.0,0.0,0.0
