name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,15,NO,26.5,39.1,315.1,2.3,0.7,4.0,19.4,0.2,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,15,JAX,15.4,25.8,206.1,1.7,0.6,14.0,67.2,0.4,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,15,CAR,21.6,36.0,287.6,2.6,0.4,2.2,10.0,0.1,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,15,PHI,23.5,34.8,249.2,1.7,0.7,7.0,42.3,0.4,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,15,DEN,23.1,35.4,251.1,1.8,0.8,6.2,34.0,0.5,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,15,WAS,22.5,32.8,263.1,2.2,0.6,4.6,27.9,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,15,DET,22.5,32.0,262.0,2.1,0.6,3.3,15.9,0.2,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,15,IND,22.5,34.0,263.5,1.6,0.8,5.8,28.8,0.3,0.0,0.0,0.0,0.0
Tom Brady,TB,QB,15,ATL,26.6,39.6,301.5,2.1,0.7,1.0,1.8,0.1,0.0,0.0,0.0,0.0
Justin Herbert,LAC,QB,15,LV,25.1,37.8,267.2,1.8,1.0,4.6,20.7,0.3,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,15,NYJ,21.2,35.4,283.0,1.9,0.8,3.2,7.8,0.1,0.0,0.0,0.0,0.0
Jalen Hurts,PHI,QB,15,ARI,18.9,30.5,193.3,1.1,0.8,10.8,57.4,0.4,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,15,KC,24.3,34.6,271.8,1.9,0.6,1.7,3.6,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,15,LAC,24.1,34.6,269.4,1.9,0.6,1.8,6.3,0.1,0.0,0.0,0.0,0.0
Philip Rivers,IND,QB,15,HOU,21.7,36.2,289.9,2.0,0.9,0.5,0.9,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,15,CIN,25.4,38.0,281.3,2.0,0.8,1.1,2.3,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,CAR,QB,15,GB,23.8,35.8,258.3,1.6,0.9,3.6,15.0,0.1,0.0,0.0,0.0,0.0
Cam Newton,NE,QB,15,MIA,17.2,27.7,199.5,1.0,0.9,8.1,36.5,0.5,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,15,TEN,23.4,36.6,273.1,1.7,0.7,1.7,4.6,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,15,NYG,20.6,32.7,249.6,1.7,0.8,2.4,9.5,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,15,MIN,22.4,35.5,242.2,1.6,0.8,3.2,13.6,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,15,CHI,21.7,33.1,262.1,1.8,0.8,1.5,5.5,0.0,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,15,TB,24.7,38.2,279.2,1.6,0.9,1.6,4.4,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,JAX,QB,15,BAL,21.5,36.1,236.4,1.4,0.9,3.7,17.8,0.1,0.0,0.0,0.0,0.0
Tua Tagovailoa,MIA,QB,15,NE,21.3,34.2,233.9,1.5,0.8,3.3,10.8,0.1,0.0,0.0,0.0,0.0
Nick Mullens,SF,QB,15,DAL,23.0,35.7,259.5,1.5,1.0,1.9,3.4,0.1,0.0,0.0,0.0,0.0
Andy Dalton,DAL,QB,15,SF,22.3,35.4,247.1,1.5,0.9,1.7,6.3,0.1,0.0,0.0,0.0,0.0
Drew Lock,DEN,QB,15,BUF,20.9,34.6,241.7,1.5,1.1,2.5,9.4,0.1,0.0,0.0,0.0,0.0
Dwayne Haskins,WAS,QB,15,SEA,21.0,34.5,226.6,1.3,0.9,2.7,8.4,0.1,0.0,0.0,0.0,0.0
Colt McCoy,NYG,QB,15,CLE,19.0,33.3,201.7,1.2,0.9,2.3,7.4,0.0,0.0,0.0,0.0,0.0
