name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Lamar Jackson,BAL,QB,3,KC,21.5,31.6,244.4,1.9,0.6,13.35,64.1,0.4,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,3,DET,24.3,35.0,278.0,2.0,0.8,9.22,44.3,0.4,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,3,DAL,21.5,35.8,286.8,2.3,0.5,4.7,25.0,0.2,0.0,0.0,0.0,0.0
Cam Newton,NE,QB,3,LV,20.7,31.4,236.9,1.5,0.7,10.7,46.9,0.7,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,3,BAL,24.4,36.7,293.4,2.1,0.6,3.8,19.9,0.2,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,3,SEA,24.6,36.6,298.5,1.9,0.6,4.1,20.0,0.3,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,3,LAR,20.8,33.9,239.1,1.6,0.8,6.7,37.2,0.5,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,3,CIN,19.9,33.2,265.2,1.9,0.6,3.0,12.7,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,3,CHI,25.9,38.4,291.6,1.8,0.8,2.5,7.6,0.1,0.0,0.0,0.0,0.0
Gardner Minshew II,JAX,QB,3,MIA,22.5,34.7,255.8,1.8,0.7,4.1,20.6,0.1,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,3,GB,21.6,35.9,287.5,2.0,0.6,0.9,1.9,0.0,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,3,NO,23.2,36.5,257.8,1.8,0.4,3.1,12.0,0.1,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,3,HOU,23.5,35.0,281.6,1.9,0.8,1.3,3.7,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,3,PIT,21.6,34.0,245.8,1.6,0.9,5.5,25.9,0.2,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,3,MIN,20.8,30.9,244.3,1.7,0.7,3.4,16.2,0.2,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,3,ARI,24.2,36.4,289.0,1.8,0.7,2.1,6.6,0.0,0.0,0.0,0.0,0.0
Tom Brady,TB,QB,3,DEN,23.3,35.8,269.0,1.8,0.6,1.0,2.3,0.1,0.0,0.0,0.0,0.0
Joe Burrow,CIN,QB,3,PHI,22.1,36.0,241.8,1.5,0.8,5.3,24.2,0.2,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,MIA,QB,3,JAX,22.8,35.8,262.3,1.7,1.0,3.8,15.5,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,3,ATL,22.2,35.2,247.3,1.5,0.8,4.6,19.0,0.2,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,3,BUF,23.1,36.3,265.8,1.7,0.9,2.8,7.4,0.1,0.0,0.0,0.0,0.0
Justin Herbert,LAC,QB,3,CAR,20.5,32.8,232.9,1.6,0.8,3.6,18.3,0.2,0.0,0.0,0.0,0.0
Philip Rivers,IND,QB,3,NYJ,23.1,33.5,271.4,1.9,0.9,0.9,2.2,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,3,WAS,21.3,33.0,257.3,1.8,0.9,1.6,6.8,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,3,TEN,21.8,32.5,246.7,1.6,0.7,1.4,5.0,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,3,SF,21.6,34.7,232.5,1.4,1.0,3.9,19.7,0.2,0.0,0.0,0.0,0.0
Teddy Bridgewater,CAR,QB,3,LAC,22.9,36.0,247.3,1.5,0.9,3.1,10.5,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,3,NE,22.6,34.2,250.0,1.5,0.7,1.6,4.0,0.1,0.0,0.0,0.0,0.0
Nick Mullens,SF,QB,3,NYG,20.3,32.1,241.4,1.5,0.8,2.2,6.9,0.1,0.0,0.0,0.0,0.0
Dwayne Haskins,WAS,QB,3,CLE,20.6,34.8,232.8,1.4,0.9,2.7,10.4,0.1,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,3,IND,19.3,33.4,210.9,1.2,0.9,2.6,6.5,0.1,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,3,GB,0.4,0.6,4.7,0.1,0.0,1.6,10.6,0.1,0.0,0.0,0.0,0.0
Jalen Hurts,PHI,QB,3,CIN,0.5,0.9,7.0,0.1,0.0,0.7,2.7,0.1,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,RB,3,SEA,0.0,0.0,0.0,0.0,0.0,19.7,86.6,0.7,5.45,4.1,32.2,0.2
Derrick Henry,TEN,RB,3,MIN,0.0,0.0,0.0,0.0,0.0,21.4,103.8,0.8,2.08,1.4,12.3,0.1
Alvin Kamara,NO,RB,3,GB,0.0,0.0,0.0,0.0,0.0,12.7,59.0,0.7,7.86,6.0,48.5,0.2
Miles Sanders,PHI,RB,3,CIN,0.0,0.0,0.0,0.0,0.0,16.1,71.8,0.6,4.86,3.4,33.6,0.2
Aaron Jones,GB,RB,3,NO,0.0,0.0,0.0,0.0,0.0,14.2,64.8,0.7,5.16,3.8,31.8,0.2
Dalvin Cook,MIN,RB,3,TEN,0.0,0.0,0.0,0.0,0.0,17.1,73.9,0.7,5.03,3.4,29.3,0.1
Jonathan Taylor,IND,RB,3,NYJ,0.0,0.0,0.0,0.0,0.0,18.9,77.5,0.7,4.17,2.8,25.1,0.1
Nick Chubb,CLE,RB,3,WAS,0.0,0.0,0.0,0.0,0.0,17.4,84.8,0.7,2.3,1.6,11.5,0.1
Austin Ekeler,LAC,RB,3,CAR,0.0,0.0,0.0,0.0,0.0,12.2,58.9,0.3,6.07,4.4,42.6,0.3
Josh Jacobs,LV,RB,3,NE,0.0,0.0,0.0,0.0,0.0,16.4,70.3,0.6,4.32,3.0,23.9,0.1
James Conner,PIT,RB,3,HOU,0.0,0.0,0.0,0.0,0.0,16.1,70.2,0.6,3.84,2.6,21.8,0.1
Chris Carson,SEA,RB,3,DAL,0.0,0.0,0.0,0.0,0.0,15.2,65.1,0.5,5.06,3.4,25.8,0.2
Kenyan Drake,ARI,RB,3,DET,0.0,0.0,0.0,0.0,0.0,15.4,70.4,0.5,4.58,3.1,24.2,0.1
Clyde Edwards-Helaire,KC,RB,3,BAL,0.0,0.0,0.0,0.0,0.0,14.3,60.5,0.5,4.55,3.3,27.2,0.2
James Robinson,JAX,RB,3,MIA,0.0,0.0,0.0,0.0,0.0,16.7,69.4,0.5,3.31,2.4,20.6,0.1
Joe Mixon,CIN,RB,3,PHI,0.0,0.0,0.0,0.0,0.0,17.0,67.4,0.5,3.55,2.5,21.4,0.1
