name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,16,ATL,25.3,42.1,336.9,2.5,0.6,4.0,20.3,0.2,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,16,SF,24.1,35.8,260.1,1.8,0.9,7.6,44.1,0.5,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,16,TEN,26.2,37.9,310.7,2.5,0.5,2.4,9.7,0.1,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,16,NYG,18.9,27.6,211.5,1.7,0.6,12.66,60.8,0.4,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,16,CIN,24.1,35.8,285.6,2.0,0.8,4.8,26.3,0.3,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,16,NE,23.4,35.7,262.8,1.8,0.9,6.4,35.4,0.5,0.0,0.0,0.0,0.0
Jalen Hurts,PHI,QB,16,DAL,20.9,33.4,224.4,1.5,0.8,10.0,54.8,0.5,0.0,0.0,0.0,0.0
Tom Brady,TB,QB,16,DET,27.7,39.6,312.5,2.2,0.6,1.1,1.9,0.1,0.0,0.0,0.0,0.0
Justin Herbert,LAC,QB,16,DEN,26.4,38.3,269.3,1.8,1.0,4.5,20.1,0.4,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,16,LAR,21.3,31.7,255.3,2.0,0.6,4.1,22.2,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,16,GB,20.9,31.6,251.4,1.8,0.6,4.0,18.7,0.2,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,16,MIN,21.2,35.3,282.6,2.0,0.6,1.7,3.5,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,16,JAX,24.2,36.7,259.0,1.7,0.8,3.4,15.5,0.1,0.0,0.0,0.0,0.0
