name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Russell Wilson,SEA,QB,9,BUF,21.7,36.2,289.8,2.3,0.6,5.6,30.5,0.2,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,9,MIA,22.9,33.3,251.6,1.7,0.8,8.0,47.8,0.5,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,9,CAR,22.2,37.0,295.6,2.2,0.6,4.1,22.7,0.2,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,9,JAX,25.4,36.3,285.2,2.1,0.8,5.1,26.9,0.3,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,9,SEA,23.8,36.8,267.7,1.8,0.9,6.5,35.5,0.5,0.0,0.0,0.0,0.0
Justin Herbert,LAC,QB,9,LV,24.1,37.1,272.9,2.3,1.0,4.9,25.4,0.3,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,9,IND,18.1,27.7,210.4,1.6,0.6,11.02,52.9,0.3,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,9,SF,23.5,37.0,268.0,2.2,0.5,3.2,13.0,0.1,0.0,0.0,0.0,0.0
Tom Brady,TB,QB,9,NO,22.2,37.0,296.3,2.1,0.6,0.9,2.2,0.1,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,9,MIN,23.7,36.3,292.8,2.0,0.7,2.3,9.3,0.1,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,9,DAL,25.2,36.2,272.5,2.3,0.6,1.2,3.5,0.0,0.0,0.0,0.0,0.0
Cam Newton,NE,QB,9,NYJ,19.6,30.0,218.3,1.3,0.8,7.9,38.1,0.5,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,9,CHI,22.0,32.3,255.8,1.8,0.7,3.5,17.5,0.2,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,9,TB,24.5,35.5,280.0,1.9,0.6,0.7,1.5,0.2,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,9,DEN,22.0,36.6,293.0,1.8,0.8,1.9,6.1,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,9,WAS,19.5,31.2,234.8,1.6,0.9,3.9,21.9,0.2,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,9,LAC,19.4,32.3,258.2,1.7,0.6,1.7,5.6,0.1,0.0,0.0,0.0,0.0
Teddy Bridgewater,CAR,QB,9,KC,23.3,35.9,256.4,1.6,0.9,3.8,13.4,0.1,0.0,0.0,0.0,0.0
Drew Lock,DEN,QB,9,ATL,22.7,36.4,262.9,1.6,0.9,1.9,7.1,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,9,DET,18.3,30.5,243.9,1.7,0.7,2.0,5.7,0.1,0.0,0.0,0.0,0.0
Nick Mullens,SF,QB,9,GB,23.8,35.3,273.2,1.6,1.0,1.8,4.1,0.0,0.0,0.0,0.0,0.0
Philip Rivers,IND,QB,9,BAL,22.2,34.3,257.0,1.7,0.9,0.3,2.4,0.0,0.0,0.0,0.0,0.0
Kyle Allen,WAS,QB,9,NYG,21.1,34.1,235.0,1.5,0.9,3.0,8.6,0.1,0.0,0.0,0.0,0.0
Nick Foles,CHI,QB,9,TEN,23.7,37.7,252.3,1.5,1.0,1.5,3.9,0.1,0.0,0.0,0.0,0.0
Jake Luton,JAX,QB,9,HOU,21.2,36.3,231.7,1.4,0.9,2.1,7.5,0.1,0.0,0.0,0.0,0.0
Tua Tagovailoa,MIA,QB,9,ARI,19.7,31.3,222.4,1.3,0.7,2.6,8.4,0.1,0.0,0.0,0.0,0.0
Garrett Gilbert,DAL,QB,9,PIT,18.2,32.4,195.7,1.1,1.0,2.2,7.9,0.1,0.0,0.0,0.0,0.0
Joe Flacco,NYJ,QB,9,NE,18.8,33.2,198.0,1.3,1.0,1.8,4.4,0.1,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,9,TB,0.3,0.5,3.9,0.1,0.0,1.5,7.2,0.1,0.0,0.0,0.0,0.0
Jarrett Stidham,NE,QB,9,NYJ,0.7,1.1,9.0,0.1,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0
Dalvin Cook,MIN,RB,9,DET,0.0,0.0,0.0,0.0,0.0,19.2,91.4,1.0,4.88,3.3,28.8,0.1
Derrick Henry,TEN,RB,9,CHI,0.0,0.0,0.0,0.0,0.0,21.5,99.2,0.9,2.23,1.5,11.5,0.1
Christian McCaffrey,CAR,RB,9,KC,0.0,0.0,0.0,0.0,0.0,13.9,71.6,0.5,6.86,4.9,37.8,0.2
James Conner,PIT,RB,9,DAL,0.0,0.0,0.0,0.0,0.0,18.0,80.3,0.7,3.84,2.6,20.8,0.1
Chase Edmonds,ARI,RB,9,MIA,0.0,0.0,0.0,0.0,0.0,13.3,65.4,0.5,6.36,4.3,32.6,0.3
James Robinson,JAX,RB,9,HOU,0.0,0.0,0.0,0.0,0.0,17.1,72.2,0.6,4.55,3.3,26.4,0.2
Alvin Kamara,NO,RB,9,TB,0.0,0.0,0.0,0.0,0.0,12.6,50.4,0.5,8.12,6.2,52.1,0.2
Josh Jacobs,LV,RB,9,LAC,0.0,0.0,0.0,0.0,0.0,18.2,75.4,0.7,3.74,2.6,19.1,0.1
Todd Gurley,ATL,RB,9,DEN,0.0,0.0,0.0,0.0,0.0,16.4,66.0,0.8,2.99,2.2,16.2,0.1
David Johnson,HOU,RB,9,JAX,0.0,0.0,0.0,0.0,0.0,17.0,67.7,0.6,3.12,2.4,22.9,0.1
Aaron Jones,GB,RB,9,SF,0.0,0.0,0.0,0.0,0.0,12.9,59.4,0.6,3.94,2.9,24.5,0.2
Clyde Edwards-Helaire,KC,RB,9,CAR,0.0,0.0,0.0,0.0,0.0,12.0,61.5,0.4,4.14,3.0,28.6,0.2
Antonio Gibson,WAS,RB,9,NYG,0.0,0.0,0.0,0.0,0.0,13.9,53.1,0.5,4.17,3.0,23.9,0.1
Jamycal Hasty,SF,RB,9,GB,0.0,0.0,0.0,0.0,0.0,16.2,71.8,0.4,2.04,1.5,12.4,0.1
Justin Jackson,LAC,RB,9,LV,0.0,0.0,0.0,0.0,0.0,11.4,50.9,0.3,5.72,4.0,35.3,0.1
D'Andre Swift,DET,RB,9,MIN,0.0,0.0,0.0,0.0,0.0,10.0,41.6,0.4,5.66,3.8,32.4,0.2
DeeJay Dallas,SEA,RB,9,BUF,0.0,0.0,0.0,0.0,0.0,12.6,51.3,0.5,4.14,2.9,20.9,0.1
David Montgomery,CHI,RB,9,TEN,0.0,0.0,0.0,0.0,0.0,17.2,61.6,0.3,4.29,3.3,24.3,0.1
J.K. Dobbins,BAL,RB,9,IND,0.0,0.0,0.0,0.0,0.0,13.7,62.9,0.3,3.48,2.4,17.8,0.1
Leonard Fournette,TB,RB,9,NO,0.0,0.0,0.0,0.0,0.0,13.5,52.4,0.4,3.96,2.7,20.0,0.1
Melvin Gordon,DEN,RB,9,ATL,0.0,0.0,0.0,0.0,0.0,12.2,48.8,0.4,4.73,3.2,21.3,0.1
Jonathan Taylor,IND,RB,9,BAL,0.0,0.0,0.0,0.0,0.0,12.4,49.8,0.3,3.27,2.2,21.8,0.1
Damien Harris,NE,RB,9,NYJ,0.0,0.0,0.0,0.0,0.0,13.4,63.1,0.4,1.18,0.8,6.7,0.0
Ezekiel Elliott,DAL,RB,9,PIT,0.0,0.0,0.0,0.0,0.0,12.8,49.5,0.3,3.99,3.0,16.8,0.1
Ronald Jones II,TB,RB,9,NO,0.0,0.0,0.0,0.0,0.0,10.8,43.7,0.4,3.26,2.3,14.9,0.0
Phillip Lindsay,DEN,RB,9,ATL,0.0,0.0,0.0,0.0,0.0,11.6,55.0,0.3,1.58,1.2,9.0,0.0
Jerick McKinnon,SF,RB,9,GB,0.0,0.0,0.0,0.0,0.0,5.8,27.8,0.3,5.21,3.5,30.0,0.1
Devin Singletary,BUF,RB,9,SEA,0.0,0.0,0.0,0.0,0.0,9.8,45.3,0.2,3.5,2.4,17.6,0.1
Wayne Gallman,NYG,RB,9,WAS,0.0,0.0,0.0,0.0,0.0,11.4,43.6,0.4,2.59,1.8,12.0,0.0
Le'Veon Bell,KC,RB,9,CAR,0.0,0.0,0.0,0.0,0.0,9.7,44.7,0.3,3.08,2.1,16.0,0.0
Zack Moss,BUF,RB,9,SEA,0.0,0.0,0.0,0.0,0.0,10.2,41.3,0.3,2.27,1.7,13.2,0.1
Gus Edwards,BAL,RB,9,IND,0.0,0.0,0.0,0.0,0.0,9.7,49.0,0.4,0.52,0.4,2.6,0.0
John Kelly,LAC,RB,9,LV,0.0,0.0,0.0,0.0,0.0,10.8,38.4,0.3,2.35,1.8,13.2,0.1
La'Mical Perine,NYJ,RB,9,NE,0.0,0.0,0.0,0.0,0.0,9.2,34.4,0.3,2.47,1.9,13.8,0.1
Latavius Murray,NO,RB,9,TB,0.0,0.0,0.0,0.0,0.0,8.9,31.7,0.3,1.72,1.3,11.6,0.1
Tony Pollard,DAL,RB,9,PIT,0.0,0.0,0.0,0.0,0.0,8.4,34.6,0.2,3.14,2.2,14.5,0.1
Jordan Howard,MIA,RB,9,ARI,0.0,0.0,0.0,0.0,0.0,10.6,40.1,0.4,0.54,0.4,3.0,0.0
Jordan Wilkins,IND,RB,9,BAL,0.0,0.0,0.0,0.0,0.0,9.5,43.4,0.2,1.08,0.8,7.7,0.0
Mike Davis,CAR,RB,9,KC,0.0,0.0,0.0,0.0,0.0,6.2,27.3,0.2,3.25,2.2,16.7,0.1
Adrian Peterson,DET,RB,9,MIN,0.0,0.0,0.0,0.0,0.0,10.5,42.8,0.2,1.3,1.0,7.1,0.0
James White,NE,RB,9,NYJ,0.0,0.0,0.0,0.0,0.0,2.5,9.4,0.0,6.38,4.4,37.5,0.2
Nyheim Hines,IND,RB,9,BAL,0.0,0.0,0.0,0.0,0.0,4.3,15.1,0.1,4.72,3.5,27.4,0.2
