name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,13,DEN,22.9,38.2,305.2,2.5,0.5,4.0,21.6,0.2,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,13,NYG,22.0,36.6,293.2,2.3,0.6,4.9,26.6,0.2,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,13,PHI,25.1,36.6,285.7,2.3,0.4,2.5,10.5,0.1,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,13,LAR,22.5,34.7,231.3,1.5,0.8,7.7,43.4,0.5,0.0,0.0,0.0,0.0
Justin Herbert,LAC,QB,13,NE,24.7,36.7,285.1,1.8,0.8,3.9,18.7,0.3,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,13,IND,23.2,34.4,273.4,1.8,0.8,5.5,28.6,0.2,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,13,DAL,17.9,27.4,202.5,1.6,0.6,8.8,51.4,0.3,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,13,SF,21.6,34.6,241.6,1.6,0.9,5.8,31.0,0.4,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,13,CLE,21.4,31.7,250.6,1.9,0.6,3.5,17.1,0.2,0.0,0.0,0.0,0.0
Cam Newton,NE,QB,13,LAC,18.9,30.3,211.2,1.1,0.8,8.9,40.0,0.6,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,13,ATL,17.2,25.0,193.4,1.1,0.7,9.4,46.7,0.6,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,13,JAX,21.9,31.9,273.2,2.0,0.7,1.6,5.0,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,13,NYJ,20.3,33.8,270.8,1.9,0.6,2.1,7.2,0.1,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,13,WAS,24.5,36.7,274.6,2.0,0.7,1.3,2.4,0.0,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,13,ARI,24.6,36.8,283.1,1.7,0.9,2.9,6.9,0.1,0.0,0.0,0.0,0.0
Philip Rivers,IND,QB,13,HOU,24.1,35.9,281.6,1.8,0.9,0.6,1.2,0.0,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,13,NO,23.7,38.0,277.7,1.7,1.0,1.8,5.3,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,13,DET,22.0,35.3,243.5,1.5,0.9,3.3,18.2,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,13,TEN,20.5,32.6,244.0,1.7,0.9,1.9,7.9,0.1,0.0,0.0,0.0,0.0
