date,week,team,opp,is_away,season_year
2018-09-06,1,PHI,ATL,0,2018
2018-09-06,1,ATL,PHI,1,2018
2018-09-09,1,BUF,BAL,1,2018
2018-09-09,1,IND,CIN,0,2018
2018-09-09,1,CLE,PIT,0,2018
2018-09-09,1,HOU,NWE,1,2018
2018-09-09,1,NYG,JAX,0,2018
2018-09-09,1,TEN,MIA,1,2018
2018-09-09,1,SFO,MIN,1,2018
2018-09-09,1,NOR,TAM,0,2018
2018-09-09,1,DAL,CAR,1,2018
2018-09-09,1,ARI,WAS,0,2018
2018-09-09,1,SEA,DEN,1,2018
2018-09-09,1,CHI,GNB,1,2018
2018-09-09,1,LAC,KAN,0,2018
2018-09-09,1,PIT,CLE,1,2018
2018-09-09,1,BAL,BUF,0,2018
2018-09-09,1,CIN,IND,1,2018
2018-09-09,1,GNB,CHI,0,2018
2018-09-09,1,DEN,SEA,0,2018
2018-09-09,1,WAS,ARI,1,2018
2018-09-09,1,CAR,DAL,0,2018
2018-09-09,1,NWE,HOU,0,2018
2018-09-09,1,KAN,LAC,1,2018
2018-09-09,1,TAM,NOR,1,2018
2018-09-09,1,MIN,SFO,0,2018
2018-09-09,1,MIA,TEN,0,2018
2018-09-09,1,JAX,NYG,1,2018
2018-09-10,1,NYJ,DET,1,2018
2018-09-10,1,LAR,OAK,1,2018
2018-09-10,1,DET,NYJ,0,2018
2018-09-10,1,OAK,LAR,0,2018
2018-09-13,2,BAL,CIN,1,2018
2018-09-13,2,CIN,BAL,0,2018
2018-09-16,2,BUF,LAC,0,2018
2018-09-16,2,CLE,NOR,1,2018
2018-09-16,2,WAS,IND,0,2018
2018-09-16,2,GNB,MIN,0,2018
2018-09-16,2,HOU,TEN,1,2018
2018-09-16,2,NYG,DAL,1,2018
2018-09-16,2,NYJ,MIA,0,2018
2018-09-16,2,PHI,TAM,1,2018
2018-09-16,2,ARI,LAR,1,2018
2018-09-16,2,DET,SFO,1,2018
2018-09-16,2,OAK,DEN,1,2018
2018-09-16,2,NWE,JAX,1,2018
2018-09-16,2,PIT,KAN,0,2018
2018-09-16,2,CAR,ATL,1,2018
2018-09-16,2,ATL,CAR,0,2018
2018-09-16,2,JAX,NWE,0,2018
2018-09-16,2,DEN,OAK,0,2018
2018-09-16,2,SFO,DET,0,2018
2018-09-16,2,LAR,ARI,0,2018
2018-09-16,2,TAM,PHI,0,2018
2018-09-16,2,DAL,NYG,0,2018
2018-09-16,2,KAN,PIT,1,2018
2018-09-16,2,MIA,NYJ,1,2018
2018-09-16,2,NOR,CLE,0,2018
2018-09-16,2,LAC,BUF,1,2018
2018-09-16,2,MIN,GNB,1,2018
2018-09-16,2,TEN,HOU,0,2018
2018-09-16,2,IND,WAS,1,2018
2018-09-17,2,CHI,SEA,0,2018
2018-09-17,2,SEA,CHI,1,2018
2018-09-20,3,CLE,NYJ,0,2018
2018-09-20,3,NYJ,CLE,1,2018
2018-09-23,3,NYG,HOU,1,2018
2018-09-23,3,BUF,MIN,1,2018
