date,week,team,opp,away,season_year
2020-10-11,5,CLE,IND,0,2020
2020-10-11,5,DAL,NYG,0,2020
2020-10-11,5,SEA,MIN,0,2020
2020-10-11,5,LVR,KAN,1,2020
2020-10-11,5,MIN,SEA,1,2020
2020-10-12,5,LAC,NOR,1,2020
2020-10-12,5,NOR,LAC,0,2020
2020-10-13,5,BUF,TEN,1,2020
2020-10-13,5,TEN,BUF,0,2020
2020-10-18,6,TAM,GNB,0,2020
2020-10-18,6,IND,CIN,0,2020
2020-10-18,6,CAR,CHI,0,2020
2020-10-18,6,LAR,SFO,1,2020
2020-10-18,6,GNB,TAM,1,2020
2020-10-18,6,NYJ,MIA,1,2020
2020-10-18,6,PHI,BAL,0,2020
2020-10-18,6,WAS,NYG,1,2020
2020-10-18,6,HOU,TEN,1,2020
2020-10-18,6,CLE,PIT,1,2020
2020-10-18,6,DEN,NWE,1,2020
2020-10-18,6,DET,JAX,1,2020
2020-10-18,6,ATL,MIN,1,2020
2020-10-18,6,MIN,ATL,0,2020
2020-10-18,6,CHI,CAR,1,2020
2020-10-18,6,PIT,CLE,0,2020
2020-10-18,6,TEN,HOU,0,2020
2020-10-18,6,NYG,WAS,0,2020
2020-10-18,6,BAL,PHI,1,2020
2020-10-18,6,MIA,NYJ,0,2020
2020-10-18,6,SFO,LAR,0,2020
2020-10-18,6,CIN,IND,1,2020
2020-10-18,6,NWE,DEN,0,2020
2020-10-18,6,JAX,DET,0,2020
2020-10-19,6,DAL,ARI,0,2020
2020-10-19,6,KAN,BUF,1,2020
2020-10-19,6,ARI,DAL,1,2020
2020-10-19,6,BUF,KAN,0,2020
2020-10-22,7,NYG,PHI,1,2020
2020-10-22,7,PHI,NYG,0,2020
2020-10-25,7,ATL,DET,0,2020
2020-10-25,7,NYJ,BUF,0,2020
2020-10-25,7,DET,ATL,1,2020
2020-10-25,7,SEA,ARI,1,2020
2020-10-25,7,JAX,LAC,1,2020
2020-10-25,7,NWE,SFO,0,2020
2020-10-25,7,DEN,KAN,0,2020
2020-10-25,7,LVR,TAM,0,2020
2020-10-25,7,DAL,WAS,1,2020
2020-10-25,7,TEN,PIT,0,2020
2020-10-25,7,BUF,NYJ,1,2020
2020-10-25,7,PIT,TEN,1,2020
2020-10-25,7,CIN,CLE,0,2020
2020-10-25,7,GNB,HOU,1,2020
2020-10-25,7,ARI,SEA,0,2020
2020-10-25,7,LAC,JAX,0,2020
2020-10-25,7,SFO,NWE,1,2020
2020-10-25,7,KAN,DEN,1,2020
2020-10-25,7,TAM,LVR,1,2020
2020-10-25,7,WAS,DAL,0,2020
2020-10-25,7,CLE,CIN,1,2020
2020-10-25,7,NOR,CAR,0,2020
2020-10-25,7,HOU,GNB,0,2020
2020-10-25,7,CAR,NOR,1,2020
2020-10-26,7,CHI,LAR,1,2020
2020-10-26,7,LAR,CHI,0,2020
2020-10-29,8,ATL,CAR,1,2020
2020-10-29,8,CAR,ATL,0,2020
2020-11-01,8,LVR,CLE,1,2020
2020-11-01,8,KAN,NYJ,0,2020
2020-11-01,8,DEN,LAC,0,2020
2020-11-01,8,SEA,SFO,0,2020
2020-11-01,8,NOR,CHI,1,2020
