name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,13,LV,25.0,37.5,323.8,2.5,0.6,2.9,13.2,0.1,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,13,SF,18.0,29.8,223.9,1.5,0.7,11.6,69.9,0.5,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,13,MIN,21.1,33.3,273.5,2.0,0.6,3.9,21.1,0.2,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,13,ATL,22.1,36.8,294.5,2.0,0.6,1.2,1.7,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,13,NYG,22.8,34.7,265.9,1.8,0.3,3.0,14.8,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,13,BUF,22.2,34.3,262.5,1.6,0.7,4.0,20.1,0.3,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,13,LAR,21.9,35.4,238.7,1.3,0.8,7.2,36.8,0.3,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,13,NE,20.2,33.2,246.9,1.6,0.8,5.1,27.2,0.2,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,13,MIA,22.4,34.5,258.8,1.9,0.7,3.2,13.2,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,13,JAX,22.8,36.4,287.0,1.8,1.3,3.8,16.9,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,13,HOU,23.8,37.5,278.0,1.8,0.5,1.1,1.9,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,13,SEA,22.2,34.7,274.0,1.8,0.7,2.2,6.8,0.1,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,13,DAL,19.2,32.2,230.4,1.2,1.0,7.3,36.0,0.4,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,13,ARI,23.8,37.0,289.2,1.7,0.8,2.2,4.6,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,13,NO,24.9,38.9,281.5,1.7,0.9,2.3,6.7,0.1,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,13,CIN,21.0,32.2,261.7,1.7,1.0,3.6,13.4,0.1,0.0,0.0,0.0,0.0
Nick Foles,JAX,QB,13,TB,24.2,37.0,266.8,1.8,0.9,2.2,6.3,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,13,IND,20.2,31.6,240.9,1.4,0.8,4.1,18.9,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,13,GB,21.4,35.3,235.7,1.4,1.0,4.4,20.8,0.2,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,13,TEN,20.6,32.8,218.4,1.5,0.5,3.2,11.4,0.2,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,13,PIT,21.3,33.8,257.4,1.5,1.1,2.3,8.8,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,13,DEN,22.4,34.6,271.3,1.6,0.9,0.9,0.8,0.0,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,13,KC,22.3,35.0,255.3,1.5,0.8,1.6,4.3,0.1,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,13,BAL,20.6,33.4,255.9,1.5,1.0,2.0,5.1,0.1,0.0,0.0,0.0,0.0
Kyle Allen,CAR,QB,13,WAS,21.4,33.2,247.5,1.5,0.9,2.2,6.2,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,13,NYJ,21.7,35.3,249.4,1.4,0.9,2.6,9.1,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,13,DET,20.8,33.5,227.8,1.3,0.9,3.6,15.3,0.2,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,MIA,QB,13,PHI,21.4,35.7,238.2,1.5,1.3,2.5,9.9,0.1,0.0,0.0,0.0,0.0
Devlin Hodges,PIT,QB,13,CLE,19.7,33.5,198.9,1.2,1.0,3.0,13.5,0.2,0.0,0.0,0.0,0.0
Dwayne Haskins,WAS,QB,13,CAR,17.7,31.8,186.4,1.0,1.2,2.2,10.4,0.1,0.0,0.0,0.0,0.0
Drew Lock,DEN,QB,13,LAC,15.7,24.5,178.0,0.9,0.9,2.6,8.6,0.0,0.0,0.0,0.0,0.0
