name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,17,LAC,24.3,35.8,281.9,2.0,0.5,3.5,16.8,0.1,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,17,CAR,24.1,35.5,275.8,2.1,0.5,1.1,1.6,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,17,WAS,23.3,34.4,265.6,1.8,0.7,3.4,15.0,0.2,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,17,DET,22.4,35.0,268.9,1.7,0.3,3.3,14.6,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,17,ATL,24.3,38.3,294.8,1.9,1.3,3.4,15.9,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,17,TB,25.7,39.8,289.4,1.9,0.9,2.1,7.0,0.1,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,17,NYG,19.7,32.8,262.3,1.8,0.6,3.8,14.8,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,17,MIA,22.9,36.1,262.1,2.0,0.5,1.2,1.8,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,17,HOU,20.9,31.8,259.8,1.8,0.8,3.3,14.5,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,17,SF,21.0,32.0,239.7,1.6,0.6,3.8,19.6,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,17,PHI,22.4,35.9,241.7,1.7,1.0,4.2,20.0,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,17,ARI,23.5,36.4,243.6,1.8,0.7,1.5,3.5,0.1,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,17,SEA,20.9,33.1,251.9,1.7,1.0,2.2,5.5,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,17,CIN,20.9,33.5,250.0,1.6,1.0,2.0,8.3,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,17,JAX,19.7,32.2,220.4,1.4,0.6,3.7,12.4,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,17,CLE,21.8,35.7,247.3,1.5,1.0,2.0,7.3,0.1,0.0,0.0,0.0,0.0
Gardner Minshew II,JAX,QB,17,IND,20.6,34.7,220.9,1.3,0.7,4.4,21.7,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,17,MIN,19.6,33.5,220.0,1.2,0.9,4.7,23.3,0.1,0.0,0.0,0.0,0.0
Drew Lock,DEN,QB,17,LV,20.4,33.2,233.3,1.5,0.9,3.1,10.7,0.0,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,17,DEN,21.9,32.3,236.4,1.3,0.7,1.5,3.2,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,17,KC,22.5,36.2,264.6,1.4,1.2,0.7,1.1,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,BAL,QB,17,PIT,15.7,27.0,182.5,1.1,0.7,5.7,25.8,0.1,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,MIA,QB,17,NE,21.2,36.0,224.4,1.2,1.3,4.1,17.7,0.1,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,17,BUF,19.5,32.1,230.1,1.2,1.1,2.4,7.7,0.1,0.0,0.0,0.0,0.0
Case Keenum,WAS,QB,17,DAL,19.3,32.4,213.5,1.2,0.9,1.1,3.2,0.1,0.0,0.0,0.0,0.0
Will Grier,CAR,QB,17,NO,21.4,35.6,227.8,1.1,1.2,1.7,8.9,0.0,0.0,0.0,0.0,0.0
Devlin Hodges,PIT,QB,17,BAL,18.3,31.8,200.6,1.1,1.1,2.4,8.7,0.1,0.0,0.0,0.0,0.0
A.J. McCarron,HOU,QB,17,TEN,13.6,22.6,180.9,1.0,0.7,1.3,4.2,0.1,0.0,0.0,0.0,0.0
David Blough,DET,QB,17,GB,19.4,33.8,217.2,1.0,1.2,1.7,5.6,0.0,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,17,NYJ,10.8,18.6,115.7,0.8,0.4,4.0,19.1,0.2,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,17,LAR,10.5,17.5,140.3,0.8,0.6,2.8,14.9,0.1,0.0,0.0,0.0,0.0
Sean Mannion,MIN,QB,17,CHI,17.0,27.5,167.8,1.0,0.7,1.1,3.6,0.0,0.0,0.0,0.0,0.0
Brett Hundley,ARI,QB,17,LAR,12.6,21.8,124.8,0.7,0.6,2.89,13.9,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,17,TEN,8.0,11.9,72.9,0.4,0.1,1.62,7.8,0.1,0.0,0.0,0.0,0.0
Matt Barkley,BUF,QB,17,NYJ,8.3,12.6,89.6,0.5,0.3,1.2,3.0,0.0,0.0,0.0,0.0,0.0
Blake Bortles,LAR,QB,17,ARI,2.8,4.9,66.3,0.4,0.3,0.9,3.8,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,17,CHI,3.6,6.0,47.7,0.3,0.1,0.4,1.2,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,TB,QB,17,ATL,2.8,4.7,37.3,0.2,0.3,0.5,1.9,0.0,0.0,0.0,0.0,0.0
Trace McSorley,BAL,QB,17,PIT,2.6,5.0,27.3,0.2,0.2,0.9,4.3,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,17,CAR,0.2,0.3,2.7,0.0,0.0,1.6,9.1,0.1,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,RB,17,NO,0.0,0.0,0.0,0.0,0.0,17.0,72.5,0.5,9.66,6.9,60.7,0.3
Ezekiel Elliott,DAL,RB,17,WAS,0.0,0.0,0.0,0.0,0.0,21.3,94.8,0.8,4.25,3.2,26.6,0.1
Aaron Jones,GB,RB,17,DET,0.0,0.0,0.0,0.0,0.0,18.5,78.3,0.8,4.62,3.4,28.2,0.2
Saquon Barkley,NYG,RB,17,PHI,0.0,0.0,0.0,0.0,0.0,18.7,81.1,0.5,6.1,4.1,35.1,0.1
Derrick Henry,TEN,RB,17,HOU,0.0,0.0,0.0,0.0,0.0,19.1,89.1,0.7,2.23,1.5,14.1,0.1
Joe Mixon,CIN,RB,17,CLE,0.0,0.0,0.0,0.0,0.0,19.2,85.7,0.5,3.55,2.5,20.1,0.2
