name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Lamar Jackson,BAL,QB,10,CIN,19.2,30.2,230.4,1.5,0.6,11.5,70.7,0.5,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,10,TEN,23.6,36.9,308.8,2.2,0.6,2.7,11.6,0.1,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,10,ATL,23.0,38.3,306.3,2.3,0.5,1.2,1.8,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,10,ARI,24.7,37.7,306.7,2.1,1.1,3.6,13.7,0.1,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,10,TB,23.7,36.6,255.1,1.5,0.8,6.7,34.6,0.3,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,10,CAR,22.9,35.5,271.1,1.8,0.3,3.1,15.2,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,10,MIN,19.5,32.5,260.2,1.6,0.8,3.8,19.9,0.3,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,10,SF,19.7,32.4,257.6,1.8,0.5,3.6,19.7,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,10,NO,25.8,40.1,294.7,1.7,0.9,2.1,6.4,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,10,LV,25.3,37.8,296.9,1.9,0.8,1.1,1.0,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,10,SEA,20.8,32.3,261.9,1.8,0.9,2.0,5.7,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,10,DAL,22.5,33.7,254.2,1.7,0.7,2.2,6.5,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,10,PIT,22.4,36.0,275.5,1.6,0.9,1.6,3.8,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,10,NYJ,22.4,35.0,239.8,1.4,1.0,4.7,21.4,0.2,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,10,CLE,18.3,30.7,213.7,1.2,1.0,7.3,35.4,0.3,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,10,LAC,22.9,33.6,260.2,1.7,0.6,1.2,3.1,0.0,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,10,KC,20.8,33.4,244.2,1.5,0.9,3.1,12.9,0.1,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,10,NYG,21.7,33.7,249.4,1.4,1.0,2.8,9.6,0.1,0.0,0.0,0.0,0.0
