name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,4,DET,25.7,39.5,329.9,2.7,0.7,2.3,9.7,0.0,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,4,ARI,23.1,34.0,278.1,2.1,0.5,5.0,23.8,0.1,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,4,CLE,19.7,32.7,239.5,1.6,0.6,9.5,45.1,0.3,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,4,CAR,22.7,33.1,264.1,1.8,0.7,5.2,25.0,0.3,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,4,NO,22.0,32.8,262.2,1.8,0.6,3.9,17.8,0.2,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,4,MIA,21.6,36.0,287.7,2.2,0.6,0.8,1.0,0.0,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,4,PHI,21.5,35.5,265.9,1.9,0.3,2.6,10.2,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,4,TB,23.0,36.4,283.2,2.0,0.7,2.0,4.7,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,4,TEN,24.0,37.7,276.5,1.9,0.8,2.2,6.5,0.1,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,4,SEA,24.7,39.3,255.6,1.5,0.9,5.3,25.4,0.2,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,4,WAS,23.4,36.6,253.6,1.7,0.9,3.9,17.2,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,4,BUF,23.3,36.7,267.4,1.9,0.7,1.0,1.3,0.0,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,4,KC,23.4,37.7,273.4,1.8,0.9,2.1,6.4,0.0,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,4,GB,22.0,36.3,267.8,1.6,0.9,3.0,10.2,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,4,LV,21.4,33.0,226.2,1.6,0.6,3.9,12.9,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,4,LAR,20.5,35.7,257.9,1.6,1.2,2.8,11.7,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,4,PIT,21.8,37.9,256.6,1.6,1.0,1.8,6.7,0.1,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,4,NE,18.6,33.0,218.6,1.1,1.1,7.1,33.7,0.3,0.0,0.0,0.0,0.0
Case Keenum,WAS,QB,4,NYG,23.8,34.9,255.0,1.6,1.0,1.3,4.7,0.1,0.0,0.0,0.0,0.0
Mason Rudolph,PIT,QB,4,CIN,19.6,34.8,240.4,1.5,1.0,3.1,8.7,0.1,0.0,0.0,0.0,0.0
