name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,5,IND,24.3,40.4,323.5,2.6,0.6,2.8,12.9,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,5,ATL,22.2,33.1,259.6,1.8,0.7,5.4,27.7,0.4,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,5,PIT,20.7,32.7,236.4,1.5,0.7,10.1,49.6,0.3,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,5,NYJ,22.7,34.2,264.8,2.1,0.6,4.2,14.1,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,5,LAR,20.5,32.2,245.8,1.9,0.6,4.9,24.5,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,5,WAS,25.1,36.9,282.9,2.0,0.6,1.3,2.0,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,5,GB,20.3,31.5,247.5,1.6,0.7,3.8,19.3,0.3,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,5,HOU,27.2,39.1,305.1,1.8,0.8,2.2,7.6,0.0,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,5,NO,23.3,36.0,298.7,1.7,1.2,3.1,13.2,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,5,DAL,23.3,37.2,257.7,1.5,0.3,3.0,14.8,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,5,DEN,23.4,35.0,282.7,1.9,0.7,0.9,1.9,0.0,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,5,CIN,23.7,36.3,246.6,1.4,0.9,5.2,26.4,0.2,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,5,SEA,24.2,38.4,283.6,1.7,0.9,2.1,4.8,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,5,ARI,24.1,37.0,260.7,1.8,0.9,1.7,6.6,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,5,KC,22.1,36.0,243.3,1.6,0.8,4.4,15.4,0.1,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,5,CLE,21.5,31.9,259.2,1.7,1.0,2.2,4.2,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,5,SF,21.3,35.2,267.7,1.6,1.1,2.5,7.6,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,5,NYG,20.8,31.7,235.9,1.5,0.7,3.1,9.2,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,5,MIN,23.0,35.3,233.7,1.3,1.0,4.3,21.0,0.1,0.0,0.0,0.0,0.0
Chase Daniel,CHI,QB,5,LV,21.0,33.0,233.9,1.5,0.8,2.8,7.2,0.1,0.0,0.0,0.0,0.0
