name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Lamar Jackson,BAL,QB,16,CLE,18.0,29.2,226.4,2.0,0.6,11.7,69.9,0.5,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,16,TB,23.9,35.5,278.9,2.0,0.9,5.1,25.7,0.3,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,16,ARI,22.7,33.2,268.1,2.2,0.5,4.1,19.9,0.1,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,16,CHI,23.7,36.6,284.6,2.0,0.7,3.5,12.6,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,16,JAX,25.3,37.5,285.1,1.9,0.7,2.2,7.5,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,16,HOU,24.7,38.8,296.1,1.9,1.3,3.4,14.8,0.1,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,MIA,QB,16,CIN,22.2,35.3,261.4,1.7,1.1,4.5,19.9,0.2,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,16,PHI,22.6,35.4,265.8,1.6,0.7,3.6,15.8,0.2,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,16,TEN,21.1,35.1,281.1,2.0,0.6,0.8,1.0,0.0,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,16,NO,20.4,32.8,255.6,1.7,0.9,3.7,17.0,0.2,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,16,SEA,22.5,35.8,243.8,1.4,0.9,6.4,33.2,0.2,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,16,GB,21.0,32.8,256.9,1.8,0.7,1.9,5.7,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,16,LV,23.5,36.3,283.6,1.9,1.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,16,DAL,24.5,37.2,254.3,1.7,0.6,3.4,13.2,0.0,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,16,MIN,22.5,35.0,252.1,1.5,0.4,2.9,14.1,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,16,LAR,20.6,32.1,247.8,1.8,0.8,2.1,5.0,0.1,0.0,0.0,0.0,0.0
Gardner Minshew II,JAX,QB,16,ATL,22.2,35.5,241.4,1.4,0.6,4.2,20.2,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,16,CAR,20.1,33.2,216.8,1.6,0.6,3.7,12.8,0.2,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,16,MIA,21.6,35.5,249.8,1.6,0.9,2.4,8.0,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,16,WAS,22.4,34.8,237.7,1.5,1.0,4.2,19.8,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,16,KC,21.6,34.9,234.7,1.4,1.0,4.0,21.9,0.1,0.0,0.0,0.0,0.0
Drew Lock,DEN,QB,16,DET,19.9,32.3,227.1,1.5,0.9,3.2,11.6,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,16,BUF,21.8,35.1,233.8,1.5,0.7,1.1,1.8,0.1,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,16,NE,14.6,24.2,194.0,1.0,1.1,6.3,31.4,0.3,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,16,SF,21.9,35.9,255.3,1.4,1.0,1.3,2.9,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,16,LAC,21.7,33.1,235.7,1.4,0.8,1.6,4.2,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,16,BAL,20.2,35.0,238.8,1.3,1.1,1.8,7.5,0.1,0.0,0.0,0.0,0.0
Dwayne Haskins,WAS,QB,16,NYG,18.9,31.2,214.8,1.3,0.9,2.5,10.9,0.1,0.0,0.0,0.0,0.0
Will Grier,CAR,QB,16,IND,22.1,35.0,231.3,1.3,1.1,1.5,5.8,0.0,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,16,PIT,20.3,32.6,226.2,1.2,1.1,2.3,6.9,0.1,0.0,0.0,0.0,0.0
Devlin Hodges,PIT,QB,16,NYJ,18.8,31.6,202.8,1.2,0.9,3.0,10.1,0.1,0.0,0.0,0.0,0.0
David Blough,DET,QB,16,DEN,20.2,33.9,214.2,1.1,1.0,1.9,7.0,0.0,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,16,WAS,2.8,4.6,37.2,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,16,TEN,0.2,0.4,2.8,0.0,0.0,1.7,9.0,0.1,0.0,0.0,0.0,0.0
