name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Lamar Jackson,BAL,QB,15,NYJ,18.1,28.7,218.6,1.9,0.6,10.9,64.3,0.5,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,15,DEN,22.7,34.8,286.0,2.1,0.7,3.7,12.9,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,15,TEN,21.8,34.4,266.8,1.7,0.8,5.3,24.4,0.3,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,15,LAR,23.5,35.9,280.9,1.8,0.8,3.8,17.2,0.2,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,15,IND,24.9,36.2,284.7,2.2,0.5,1.1,0.9,0.0,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,15,CAR,20.7,31.0,244.2,1.8,0.6,4.4,22.8,0.2,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,15,DET,24.3,37.6,291.1,1.9,1.3,4.2,17.1,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,15,HOU,19.2,31.6,252.9,1.7,0.7,4.1,19.4,0.2,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,15,ATL,21.2,32.8,261.5,2.1,0.8,2.5,4.5,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,15,CHI,20.8,34.1,241.4,1.6,0.3,3.3,14.6,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,15,ARI,23.0,34.7,270.2,1.8,0.9,2.1,6.6,0.1,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,15,CLE,21.3,34.6,227.9,1.4,0.9,6.5,31.9,0.2,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,15,CIN,21.3,36.2,245.5,1.8,0.5,1.2,1.8,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,15,DAL,22.8,36.7,277.3,1.7,0.9,1.7,3.0,0.1,0.0,0.0,0.0,0.0
