name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Lamar Jackson,BAL,QB,12,LAR,19.5,31.3,232.4,1.5,0.7,11.7,69.2,0.5,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,12,IND,22.7,33.4,262.3,1.8,0.7,5.5,29.0,0.3,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,12,PHI,21.8,33.7,264.5,1.9,0.5,4.4,23.9,0.2,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,12,TB,26.9,39.6,305.3,2.1,0.8,2.7,8.2,0.1,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,12,CAR,24.6,36.1,287.7,2.0,0.5,1.1,1.6,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,12,ATL,24.2,38.8,299.4,1.9,1.3,3.4,15.2,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,12,SF,22.1,34.7,263.3,1.6,0.5,3.2,14.9,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,12,MIA,21.5,34.2,275.5,1.8,1.0,2.7,10.8,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,12,DAL,23.7,37.1,266.5,1.8,0.6,1.2,2.1,0.1,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,12,DEN,18.5,30.7,221.1,1.2,1.0,7.5,36.0,0.4,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,12,GB,21.5,32.9,270.9,1.8,1.0,2.1,5.7,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,12,NYJ,22.7,34.4,262.6,1.7,0.6,1.5,4.4,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,12,NE,21.0,34.5,254.4,1.4,0.9,4.0,19.6,0.2,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,12,SEA,22.8,35.7,242.1,1.7,0.7,3.7,14.5,0.1,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,12,LV,21.6,34.5,259.0,1.7,1.1,2.5,9.2,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,12,HOU,22.0,33.9,233.8,1.6,0.6,3.3,10.5,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,12,BAL,21.3,36.3,268.3,1.5,0.9,1.7,3.7,0.1,0.0,0.0,0.0,0.0
Nick Foles,JAX,QB,12,TEN,22.0,35.0,254.8,1.6,0.9,1.5,4.6,0.1,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,MIA,QB,12,CLE,21.6,35.6,244.7,1.6,1.2,3.1,10.7,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,QB,12,JAX,19.5,31.2,230.7,1.4,0.8,3.6,16.2,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,12,NYG,19.3,31.1,220.0,1.3,0.9,2.8,12.2,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,12,CHI,21.6,35.0,229.9,1.2,1.1,4.0,17.6,0.1,0.0,0.0,0.0,0.0
Kyle Allen,CAR,QB,12,NO,21.5,36.3,240.7,1.3,1.0,1.9,5.2,0.1,0.0,0.0,0.0,0.0
Mason Rudolph,PIT,QB,12,CIN,21.2,33.1,230.6,1.4,0.9,1.8,5.8,0.0,0.0,0.0,0.0,0.0
Dwayne Haskins,WAS,QB,12,DET,19.5,32.5,213.6,1.3,1.2,2.4,9.4,0.1,0.0,0.0,0.0,0.0
Brandon Allen,DEN,QB,12,BUF,18.5,31.7,204.4,1.0,1.2,3.4,12.0,0.1,0.0,0.0,0.0,0.0
Ryan Finley,CIN,QB,12,PIT,19.2,34.3,187.6,1.0,1.1,3.6,14.8,0.1,0.0,0.0,0.0,0.0
Chase Daniel,CHI,QB,12,NYG,8.2,13.4,65.4,0.4,0.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Devlin Hodges,PIT,QB,12,CIN,5.4,9.1,72.5,0.3,0.3,0.7,1.5,0.0,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,12,PIT,4.4,7.4,58.9,0.2,0.3,1.0,2.8,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,12,CAR,1.0,1.7,13.8,0.1,0.1,1.9,8.1,0.1,0.0,0.0,0.0,0.0
Gardner Minshew II,JAX,QB,12,TEN,1.6,2.7,21.4,0.1,0.1,0.6,1.8,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,NO,QB,12,CAR,1.8,3.1,24.7,0.1,0.1,0.5,1.2,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,TEN,QB,12,JAX,1.6,2.6,20.9,0.1,0.1,0.5,1.3,0.0,0.0,0.0,0.0,0.0
Case Keenum,WAS,QB,12,DET,2.4,4.0,32.2,0.0,0.2,0.6,1.2,0.0,0.0,0.0,0.0,0.0
Josh Rosen,MIA,QB,12,CLE,1.8,2.9,23.4,0.1,0.2,0.3,0.7,0.0,0.0,0.0,0.0,0.0
Blake Bortles,LAR,QB,12,BAL,1.2,2.1,16.5,0.1,0.1,0.5,1.3,0.0,0.0,0.0,0.0,0.0
Brian Hoyer,IND,QB,12,HOU,1.3,2.2,17.9,0.1,0.1,0.4,0.6,0.0,0.0,0.0,0.0,0.0
Matt Schaub,ATL,QB,12,TB,0.7,1.1,9.0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Mike Glennon,LV,QB,12,NYJ,1.4,2.2,18.0,0.1,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,BAL,QB,12,LAR,1.4,2.2,18.0,0.1,0.2,0.6,2.4,0.0,0.0,0.0,0.0,0.0
Nick Mullens,SF,QB,12,GB,0.9,1.4,11.6,0.1,0.1,0.4,0.8,0.0,0.0,0.0,0.0,0.0
Josh McCown,PHI,QB,12,SEA,1.2,1.9,15.4,0.1,0.1,0.4,1.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,TB,QB,12,ATL,1.1,1.9,15.3,0.1,0.1,0.3,0.7,0.0,0.0,0.0,0.0,0.0
Christian McCaffrey,CAR,RB,12,NO,0.0,0.0,0.0,0.0,0.0,17.6,79.9,0.6,7.84,5.6,48.5,0.3
Nick Chubb,CLE,RB,12,MIA,0.0,0.0,0.0,0.0,0.0,19.3,96.8,0.8,3.31,2.3,17.1,0.1
Alvin Kamara,NO,RB,12,CAR,0.0,0.0,0.0,0.0,0.0,14.0,67.4,0.6,7.72,5.9,50.2,0.2
Derrick Henry,TEN,RB,12,JAX,0.0,0.0,0.0,0.0,0.0,19.7,88.4,0.8,2.08,1.4,12.9,0.1
Ezekiel Elliott,DAL,RB,12,NE,0.0,0.0,0.0,0.0,0.0,19.2,83.6,0.5,3.72,2.8,21.8,0.1
Saquon Barkley,NYG,RB,12,CHI,0.0,0.0,0.0,0.0,0.0,16.6,68.5,0.4,6.7,4.5,36.6,0.2
Josh Jacobs,LV,RB,12,NYJ,0.0,0.0,0.0,0.0,0.0,19.4,81.7,0.6,2.88,2.0,15.8,0.1
Leonard Fournette,JAX,RB,12,TEN,0.0,0.0,0.0,0.0,0.0,19.8,77.7,0.4,5.88,4.0,29.7,0.1
Chris Carson,SEA,RB,12,PHI,0.0,0.0,0.0,0.0,0.0,18.0,76.7,0.5,3.87,2.6,18.8,0.1
Aaron Jones,GB,RB,12,SF,0.0,0.0,0.0,0.0,0.0,12.3,58.0,0.6,4.35,3.2,27.8,0.1
Todd Gurley,LAR,RB,12,BAL,0.0,0.0,0.0,0.0,0.0,15.8,65.2,0.6,3.4,2.5,20.5,0.1
Le'Veon Bell,NYJ,RB,12,LV,0.0,0.0,0.0,0.0,0.0,16.3,62.2,0.4,6.17,4.2,32.8,0.1
David Montgomery,CHI,RB,12,NYG,0.0,0.0,0.0,0.0,0.0,16.3,61.9,0.5,2.86,2.2,17.5,0.1
Tevin Coleman,SF,RB,12,GB,0.0,0.0,0.0,0.0,0.0,13.3,57.7,0.5,3.08,2.3,20.2,0.1
Joe Mixon,CIN,RB,12,PIT,0.0,0.0,0.0,0.0,0.0,15.8,61.5,0.4,3.12,2.2,17.9,0.1
Mark Ingram,BAL,RB,12,LAR,0.0,0.0,0.0,0.0,0.0,12.6,56.2,0.5,2.72,2.0,15.6,0.1
Phillip Lindsay,DEN,RB,12,BUF,0.0,0.0,0.0,0.0,0.0,13.5,62.6,0.4,3.3,2.5,16.3,0.0
Sony Michel,NE,RB,12,DAL,0.0,0.0,0.0,0.0,0.0,14.8,59.2,0.6,1.37,1.0,7.6,0.0
Jaylen Samuels,PIT,RB,12,CIN,0.0,0.0,0.0,0.0,0.0,9.8,37.9,0.3,6.2,4.7,34.5,0.2
Devin Singletary,BUF,RB,12,DEN,0.0,0.0,0.0,0.0,0.0,13.4,57.3,0.3,3.79,2.6,20.9,0.1
Carlos Hyde,HOU,RB,12,IND,0.0,0.0,0.0,0.0,0.0,15.7,66.6,0.5,1.26,0.9,4.3,0.0
Brian Hill,ATL,RB,12,TB,0.0,0.0,0.0,0.0,0.0,12.6,51.5,0.3,2.86,2.2,16.3,0.2
Miles Sanders,PHI,RB,12,SEA,0.0,0.0,0.0,0.0,0.0,10.2,44.8,0.2,4.14,2.9,28.9,0.1
Kareem Hunt,CLE,RB,12,MIA,0.0,0.0,0.0,0.0,0.0,6.1,30.0,0.2,5.35,3.8,32.2,0.2
Bo Scarbrough,DET,RB,12,WAS,0.0,0.0,0.0,0.0,0.0,14.1,56.1,0.4,1.12,0.8,5.2,0.0
James White,NE,RB,12,DAL,0.0,0.0,0.0,0.0,0.0,4.9,19.3,0.1,7.39,5.1,44.8,0.2
Jonathan Williams,IND,RB,12,HOU,0.0,0.0,0.0,0.0,0.0,11.3,50.1,0.4,1.4,1.0,6.9,0.0
Ronald Jones II,TB,RB,12,ATL,0.0,0.0,0.0,0.0,0.0,11.3,44.6,0.3,3.12,2.2,18.4,0.0
Kalen Ballage,MIA,RB,12,CLE,0.0,0.0,0.0,0.0,0.0,12.4,40.6,0.3,3.37,2.5,16.2,0.1
Latavius Murray,NO,RB,12,CAR,0.0,0.0,0.0,0.0,0.0,9.2,38.5,0.3,2.52,1.9,13.8,0.1
Jamaal Williams,GB,RB,12,SF,0.0,0.0,0.0,0.0,0.0,8.1,31.9,0.2,3.32,2.5,18.5,0.2
Derrius Guice,WAS,RB,12,DET,0.0,0.0,0.0,0.0,0.0,10.6,40.1,0.2,2.52,1.9,15.7,0.1
Tarik Cohen,CHI,RB,12,NYG,0.0,0.0,0.0,0.0,0.0,5.4,19.6,0.1,5.34,3.9,29.8,0.2
Adrian Peterson,WAS,RB,12,DET,0.0,0.0,0.0,0.0,0.0,10.6,44.1,0.2,1.43,1.1,8.6,0.0
Duke Johnson,HOU,RB,12,IND,0.0,0.0,0.0,0.0,0.0,4.9,23.3,0.1,3.8,2.8,25.1,0.1
Raheem Mostert,SF,RB,12,GB,0.0,0.0,0.0,0.0,0.0,8.4,39.4,0.2,1.76,1.3,10.1,0.0
Royce Freeman,DEN,RB,12,BUF,0.0,0.0,0.0,0.0,0.0,8.7,33.9,0.2,3.33,2.3,14.5,0.0
Nyheim Hines,IND,RB,12,HOU,0.0,0.0,0.0,0.0,0.0,4.1,15.1,0.1,4.59,3.4,28.3,0.1
Jordan Wilkins,IND,RB,12,HOU,0.0,0.0,0.0,0.0,0.0,7.5,33.4,0.2,1.21,0.9,5.5,0.0
J.D. McKissic,DET,RB,12,WAS,0.0,0.0,0.0,0.0,0.0,4.1,19.0,0.1,3.77,2.6,17.7,0.1
Benny Snell Jr.,PIT,RB,12,CIN,0.0,0.0,0.0,0.0,0.0,8.1,31.5,0.2,1.12,0.8,5.5,0.0
Rex Burkhead,NE,RB,12,DAL,0.0,0.0,0.0,0.0,0.0,4.9,18.2,0.1,2.59,1.8,16.6,0.1
Frank Gore,BUF,RB,12,DEN,0.0,0.0,0.0,0.0,0.0,8.8,33.6,0.1,1.2,0.9,6.7,0.0
Peyton Barber,TB,RB,12,ATL,0.0,0.0,0.0,0.0,0.0,7.6,28.1,0.2,1.21,0.9,5.5,0.0
Giovani Bernard,CIN,RB,12,PIT,0.0,0.0,0.0,0.0,0.0,4.1,14.2,0.1,2.54,1.9,13.9,0.1
Gus Edwards,BAL,RB,12,LAR,0.0,0.0,0.0,0.0,0.0,6.6,29.6,0.1,0.39,0.3,2.1,0.0
Trey Edmunds,PIT,RB,12,CIN,0.0,0.0,0.0,0.0,0.0,6.3,24.1,0.1,1.44,1.0,7.6,0.0
Patrick Laird,MIA,RB,12,CLE,0.0,0.0,0.0,0.0,0.0,4.3,14.6,0.1,3.23,2.2,16.2,0.0
Kerryon Johnson,DET,RB,12,WAS,0.0,0.0,0.0,0.0,0.0,4.3,18.6,0.1,1.82,1.3,8.3,0.0
Jalen Richard,LV,RB,12,NYJ,0.0,0.0,0.0,0.0,0.0,1.9,8.2,0.0,2.94,2.0,17.4,0.1
Jeff Wilson,SF,RB,12,GB,0.0,0.0,0.0,0.0,0.0,4.5,15.4,0.2,0.95,0.7,4.0,0.0
Qadree Ollison,ATL,RB,12,TB,0.0,0.0,0.0,0.0,0.0,4.7,16.6,0.1,1.24,0.9,6.0,0.0
Jay Ajayi,PHI,RB,12,SEA,0.0,0.0,0.0,0.0,0.0,4.5,18.8,0.1,0.82,0.6,3.8,0.0
Tony Pollard,DAL,RB,12,NE,0.0,0.0,0.0,0.0,0.0,3.6,14.4,0.1,1.43,1.0,7.8,0.0
Bilal Powell,NYJ,RB,12,LV,0.0,0.0,0.0,0.0,0.0,4.4,17.8,0.1,1.01,0.7,4.2,0.0
DeAndre Washington,LV,RB,12,NYJ,0.0,0.0,0.0,0.0,0.0,3.2,11.7,0.1,1.74,1.3,9.4,0.0
Rashaad Penny,SEA,RB,12,PHI,0.0,0.0,0.0,0.0,0.0,4.0,18.5,0.1,0.8,0.6,4.2,0.0
Boston Scott,PHI,RB,12,SEA,0.0,0.0,0.0,0.0,0.0,4.2,15.8,0.1,0.71,0.5,3.2,0.0
Dion Lewis,TEN,RB,12,JAX,0.0,0.0,0.0,0.0,0.0,3.3,11.8,0.0,2.73,1.9,12.7,0.0
Kenjon Barner,ATL,RB,12,TB,0.0,0.0,0.0,0.0,0.0,3.3,11.7,0.1,1.3,0.9,6.5,0.0
