name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Lamar Jackson,BAL,QB,6,CIN,20.8,32.4,243.9,1.8,0.8,10.4,53.8,0.4,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,6,HOU,25.3,38.5,314.3,2.3,0.6,3.2,13.5,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,6,ARI,28.4,39.7,314.4,2.1,0.7,2.3,8.1,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,6,KC,22.0,33.9,272.2,1.8,0.9,5.0,28.7,0.3,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,6,CLE,20.8,31.3,256.0,1.8,0.5,5.4,28.0,0.2,0.0,0.0,0.0,0.0
Kyler Murray,ARI,QB,6,ATL,24.0,36.9,260.9,1.6,0.9,6.1,32.2,0.3,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,6,NYJ,22.2,33.4,264.9,1.7,0.7,4.1,19.9,0.3,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,6,NYG,24.3,36.0,287.2,2.1,0.5,1.2,1.8,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,6,DET,21.7,35.9,259.8,1.6,0.3,3.1,13.8,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,6,SF,23.5,38.4,286.0,1.9,0.9,2.1,4.3,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,6,CAR,21.9,34.7,267.0,1.8,1.1,3.1,13.1,0.1,0.0,0.0,0.0,0.0
Gardner Minshew II,JAX,QB,6,NO,21.7,33.6,242.8,1.5,0.7,3.8,17.2,0.1,0.0,0.0,0.0,0.0
Kyle Allen,CAR,QB,6,TB,22.8,35.9,260.2,1.6,0.8,2.2,6.0,0.1,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,6,MIN,22.9,35.2,237.5,1.6,0.7,3.7,12.3,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,6,PIT,23.7,35.3,266.3,1.7,0.8,0.9,1.7,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,6,PHI,20.7,31.4,237.5,1.5,0.6,3.1,9.0,0.1,0.0,0.0,0.0,0.0
Jimmy Garoppolo,SF,QB,6,LAR,20.6,32.2,254.9,1.6,1.0,2.2,4.0,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,6,BAL,22.6,37.7,255.3,1.5,1.0,1.6,5.7,0.1,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,6,GB,21.0,34.5,253.1,1.5,0.9,2.3,7.6,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,6,SEA,21.3,35.0,252.7,1.5,1.1,2.2,6.9,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,TEN,QB,6,DEN,18.2,29.2,205.2,1.1,0.8,4.9,25.4,0.1,0.0,0.0,0.0,0.0
Case Keenum,WAS,QB,6,MIA,22.3,32.1,245.5,1.4,0.9,1.6,5.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,NO,QB,6,JAX,20.8,32.1,222.7,1.3,0.9,2.5,8.2,0.0,0.0,0.0,0.0,0.0
Devlin Hodges,PIT,QB,6,LAC,22.3,34.8,219.4,1.1,1.1,2.9,11.4,0.1,0.0,0.0,0.0,0.0
Joe Flacco,DEN,QB,6,TEN,21.8,34.2,232.7,1.2,0.9,1.1,2.7,0.0,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,6,DAL,20.4,33.4,219.4,1.1,1.1,2.0,7.3,0.1,0.0,0.0,0.0,0.0
Daniel Jones,NYG,QB,6,NE,20.1,35.3,209.0,0.9,1.2,3.8,18.0,0.1,0.0,0.0,0.0,0.0
Josh Rosen,MIA,QB,6,WAS,19.5,31.9,215.3,1.2,1.2,1.7,7.5,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,6,JAX,0.8,1.4,10.8,0.1,0.1,1.8,8.3,0.0,0.0,0.0,0.0,0.0
Blake Bortles,LAR,QB,6,SF,1.8,2.7,17.1,0.1,0.1,0.6,2.7,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,BAL,QB,6,CIN,1.8,3.2,16.8,0.1,0.1,0.7,2.5,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,MIA,QB,6,WAS,1.8,3.0,24.0,0.1,0.3,0.4,1.5,0.0,0.0,0.0,0.0,0.0
