name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,10,ARI,22.7,34.3,302.2,2.5,0.8,3.8,14.6,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,10,MIA,23.6,37.3,292.5,2.3,0.6,3.4,15.6,0.1,0.0,0.0,0.0,0.0
Cam Newton,CAR,QB,10,PIT,22.1,34.5,245.6,1.7,0.7,8.0,38.8,0.4,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,10,CLE,24.4,37.3,302.0,2.1,0.7,2.1,6.7,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,10,LV,21.0,31.6,286.6,2.3,0.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,10,CAR,24.9,38.8,293.3,2.2,0.9,1.7,4.6,0.1,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,10,CIN,24.6,35.7,286.2,2.1,0.6,1.7,3.4,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,10,DET,20.1,31.6,243.4,1.7,0.7,4.6,28.7,0.2,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,10,SEA,22.4,34.8,280.7,2.0,0.7,2.8,7.5,0.1,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,10,DAL,23.8,35.1,266.2,1.9,0.6,3.8,15.7,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,10,TEN,24.3,36.6,282.8,2.0,0.6,1.8,2.9,0.1,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,TB,QB,10,WAS,23.4,35.9,277.1,2.0,1.1,3.9,15.0,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,10,LAR,20.9,31.5,246.4,1.8,0.7,3.6,19.3,0.1,0.0,0.0,0.0,0.0
