name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Ben Roethlisberger,PIT,QB,5,ATL,26.3,40.0,302.9,2.3,0.9,2.2,4.0,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,5,PIT,24.8,37.7,299.9,2.0,0.7,2.4,7.2,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,5,DAL,21.5,34.1,260.8,1.8,0.9,5.8,29.8,0.2,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,5,DET,22.9,35.8,263.0,2.0,0.6,3.3,16.4,0.1,0.0,0.0,0.0,0.0
Cam Newton,CAR,QB,5,NYG,20.1,31.6,233.4,1.5,0.8,7.9,38.1,0.3,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,5,IND,23.8,36.1,278.3,2.3,0.7,1.9,3.1,0.0,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,5,LV,24.2,36.1,287.9,2.2,0.7,1.5,1.7,0.0,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,5,WAS,21.2,35.3,282.7,2.0,0.6,1.8,2.9,0.1,0.0,0.0,0.0,0.0
Alex Smith,WAS,QB,5,NO,23.4,34.7,270.7,1.7,0.6,4.5,17.3,0.1,0.0,0.0,0.0,0.0
Patrick Mahomes,KC,QB,5,JAX,21.1,34.9,262.7,1.9,0.8,3.8,14.9,0.1,0.0,0.0,0.0,0.0
Blake Bortles,JAX,QB,5,KC,24.4,37.9,265.5,1.7,0.9,4.5,24.5,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,5,SEA,23.2,34.0,275.7,2.1,0.7,1.7,4.2,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,5,PHI,25.7,39.4,286.7,1.8,0.8,2.9,9.6,0.1,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,5,GB,25.7,38.9,289.0,2.0,0.9,1.9,6.0,0.0,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,5,MIN,23.8,37.4,268.2,1.8,0.8,3.2,12.4,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,5,MIA,22.3,36.5,265.6,1.9,0.9,2.3,7.5,0.1,0.0,0.0,0.0,0.0
Andrew Luck,IND,QB,5,NE,25.5,40.5,265.8,1.7,1.0,2.8,12.0,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,5,LAR,20.7,32.5,239.0,1.5,0.8,4.5,21.6,0.1,0.0,0.0,0.0,0.0
Joe Flacco,BAL,QB,5,CLE,24.9,39.0,266.0,1.6,0.8,2.2,4.1,0.1,0.0,0.0,0.0,0.0
Marcus Mariota,TEN,QB,5,BUF,20.7,31.4,222.5,1.4,0.8,4.7,24.0,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,5,LAC,25.3,39.0,282.1,1.6,1.0,1.5,2.2,0.0,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,5,HOU,19.7,30.6,213.2,1.2,0.6,4.4,22.3,0.2,0.0,0.0,0.0,0.0
Ryan Tannehill,MIA,QB,5,CIN,20.9,34.3,239.8,1.5,1.0,3.0,11.7,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,5,BAL,21.9,36.9,238.8,1.3,1.0,3.0,12.1,0.1,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,5,CAR,23.9,36.2,246.3,1.4,0.8,1.6,2.0,0.0,0.0,0.0,0.0,0.0
C.J. Beathard,SF,QB,5,ARI,21.1,32.7,228.4,1.2,1.1,4.0,16.8,0.1,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,5,TEN,18.0,31.3,192.5,1.1,1.0,6.1,23.8,0.2,0.0,0.0,0.0,0.0
Case Keenum,DEN,QB,5,NYJ,19.9,34.4,226.9,1.3,1.0,1.9,6.3,0.1,0.0,0.0,0.0,0.0
Josh Rosen,ARI,QB,5,SF,20.0,33.9,221.0,1.2,0.9,2.3,5.8,0.0,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,5,DEN,19.0,33.1,222.0,1.1,1.1,2.4,5.2,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,5,CLE,0.8,1.4,11.2,0.0,0.1,2.7,13.6,0.1,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,5,WAS,0.4,0.8,6.1,0.0,0.0,1.4,5.3,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,5,NE,0.9,1.4,11.6,0.1,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0
Joshua Dobbs,PIT,QB,5,ATL,0.5,0.9,7.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Todd Gurley,LAR,RB,5,SEA,0.0,0.0,0.0,0.0,0.0,18.9,88.1,0.8,5.57,4.1,41.5,0.2
Melvin Gordon,LAC,RB,5,LV,0.0,0.0,0.0,0.0,0.0,17.2,75.7,0.6,6.8,4.6,41.0,0.3
