name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,16,SEA,24.5,37.5,300.4,2.3,0.8,3.9,14.7,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,16,KC,20.2,29.2,249.7,2.1,0.6,4.1,21.2,0.1,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,16,PIT,22.6,33.5,277.9,2.3,0.6,1.6,1.5,0.1,0.0,0.0,0.0,0.0
Andrew Luck,IND,QB,16,NYG,23.6,37.2,279.5,2.1,0.9,2.9,10.5,0.0,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,16,CAR,25.2,37.3,287.8,1.9,0.7,2.1,6.1,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,16,NYJ,22.4,36.9,262.9,1.8,0.6,3.1,15.7,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,16,PHI,20.9,32.0,249.1,1.7,0.8,5.6,28.9,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,16,TB,22.0,32.3,250.0,1.7,0.7,4.8,19.9,0.2,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,16,NO,25.9,40.9,304.7,2.0,1.0,1.5,3.4,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,16,CIN,21.8,33.7,258.9,2.0,0.8,2.7,8.7,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,16,BUF,23.0,37.0,274.9,1.9,0.7,1.6,2.9,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,16,ARI,22.8,36.8,272.8,1.9,0.8,2.5,5.2,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,16,DET,22.2,35.4,264.6,1.8,0.7,2.8,6.8,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,16,SF,20.4,32.8,235.4,1.7,0.9,4.7,25.9,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,16,DAL,21.9,36.1,264.4,1.6,1.0,3.6,19.0,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,16,BAL,21.4,33.5,261.7,2.0,0.7,1.3,0.9,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,16,LAC,14.6,25.9,159.9,0.9,0.9,13.7,70.9,0.3,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,16,NE,18.1,31.2,205.4,1.0,1.1,8.2,45.4,0.4,0.0,0.0,0.0,0.0
Nick Foles,PHI,QB,16,HOU,22.7,35.8,257.4,1.6,0.7,1.8,5.1,0.1,0.0,0.0,0.0,0.0
Case Keenum,DEN,QB,16,LV,21.4,34.3,239.8,1.5,0.9,1.8,6.4,0.1,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,16,GB,20.1,33.9,239.2,1.5,1.1,3.4,10.5,0.1,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,16,DEN,22.8,34.4,260.2,1.5,0.9,1.5,3.3,0.0,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,16,IND,23.3,35.8,250.2,1.5,0.9,1.1,2.2,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,TEN,QB,16,WAS,16.7,26.7,197.2,1.3,0.8,4.7,22.7,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,MIA,QB,16,JAX,17.9,30.3,207.6,1.5,0.9,2.4,8.4,0.0,0.0,0.0,0.0,0.0
Nick Mullens,SF,QB,16,CHI,20.3,35.1,245.4,1.4,1.3,2.2,3.3,0.0,0.0,0.0,0.0,0.0
Josh Johnson,WAS,QB,16,TEN,17.8,31.2,185.9,1.0,1.1,5.8,32.7,0.1,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,16,MIN,21.3,34.8,230.1,1.3,0.9,1.7,4.2,0.0,0.0,0.0,0.0,0.0
Taylor Heinicke,CAR,QB,16,ATL,15.4,25.6,205.0,1.1,1.1,3.6,9.6,0.1,0.0,0.0,0.0,0.0
Cody Kessler,JAX,QB,16,MIA,16.8,30.1,185.9,1.1,1.1,3.4,17.7,0.0,0.0,0.0,0.0,0.0
Josh Rosen,ARI,QB,16,LAR,17.5,30.7,194.6,1.0,1.2,2.2,6.6,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,16,PIT,0.4,0.7,5.3,0.0,0.0,2.1,11.8,0.1,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,RB,16,TB,0.0,0.0,0.0,0.0,0.0,21.2,99.6,0.7,5.98,4.5,35.8,0.2
Christian McCaffrey,CAR,RB,16,ATL,0.0,0.0,0.0,0.0,0.0,15.8,73.1,0.6,7.98,5.7,49.0,0.3
Saquon Barkley,NYG,RB,16,IND,0.0,0.0,0.0,0.0,0.0,17.3,71.2,0.5,8.19,5.5,48.4,0.2
Nick Chubb,CLE,RB,16,CIN,0.0,0.0,0.0,0.0,0.0,18.6,88.2,0.7,2.73,1.9,16.8,0.1
Alvin Kamara,NO,RB,16,PIT,0.0,0.0,0.0,0.0,0.0,12.9,58.1,0.5,6.15,4.7,40.3,0.3
Melvin Gordon,LAC,RB,16,BAL,0.0,0.0,0.0,0.0,0.0,15.8,64.7,0.6,5.32,3.6,30.6,0.2
Joe Mixon,CIN,RB,16,CLE,0.0,0.0,0.0,0.0,0.0,17.7,78.1,0.5,4.54,3.2,23.8,0.1
Phillip Lindsay,DEN,RB,16,LV,0.0,0.0,0.0,0.0,0.0,15.7,72.3,0.6,3.82,2.9,21.6,0.1
Chris Carson,SEA,RB,16,KC,0.0,0.0,0.0,0.0,0.0,17.0,78.5,0.6,2.83,1.9,16.4,0.1
Derrick Henry,TEN,RB,16,WAS,0.0,0.0,0.0,0.0,0.0,18.1,83.8,0.7,1.63,1.1,8.1,0.0
Dalvin Cook,MIN,RB,16,DET,0.0,0.0,0.0,0.0,0.0,15.3,69.5,0.5,4.58,3.1,24.4,0.1
Marlon Mack,IND,RB,16,NYG,0.0,0.0,0.0,0.0,0.0,16.0,72.0,0.6,2.17,1.5,11.5,0.1
Jamaal Williams,GB,RB,16,NYJ,0.0,0.0,0.0,0.0,0.0,15.0,61.8,0.5,3.72,2.8,20.6,0.1
David Johnson,ARI,RB,16,LAR,0.0,0.0,0.0,0.0,0.0,16.6,60.8,0.4,4.29,3.3,28.2,0.1
Damien Williams,KC,RB,16,SEA,0.0,0.0,0.0,0.0,0.0,12.6,54.0,0.5,4.89,3.4,26.8,0.1
Jaylen Samuels,PIT,RB,16,NO,0.0,0.0,0.0,0.0,0.0,13.3,51.9,0.4,4.75,3.6,31.4,0.1
Elijah McGuire,NYJ,RB,16,GB,0.0,0.0,0.0,0.0,0.0,14.6,58.9,0.4,4.35,3.0,24.0,0.1
Sony Michel,NE,RB,16,BUF,0.0,0.0,0.0,0.0,0.0,16.2,66.5,0.6,1.5,1.1,7.8,0.0
Derrick Coleman,ATL,RB,16,CAR,0.0,0.0,0.0,0.0,0.0,13.7,56.1,0.4,3.61,2.7,22.5,0.1
Leonard Fournette,JAX,RB,16,MIA,0.0,0.0,0.0,0.0,0.0,14.1,56.6,0.4,3.52,2.4,19.2,0.1
Gus Edwards,BAL,RB,16,LAC,0.0,0.0,0.0,0.0,0.0,16.4,70.8,0.5,0.13,0.1,1.6,0.0
Matt Breida,SF,RB,16,CHI,0.0,0.0,0.0,0.0,0.0,12.7,52.6,0.3,4.17,3.0,23.8,0.1
Jordan Howard,CHI,RB,16,SF,0.0,0.0,0.0,0.0,0.0,15.8,59.7,0.5,1.64,1.2,8.3,0.0
Tarik Cohen,CHI,RB,16,SF,0.0,0.0,0.0,0.0,0.0,6.5,27.3,0.2,6.02,4.4,40.9,0.3
Mark Ingram,NO,RB,16,PIT,0.0,0.0,0.0,0.0,0.0,12.1,50.7,0.5,2.72,2.0,15.5,0.0
Alfred Blue,HOU,RB,16,PHI,0.0,0.0,0.0,0.0,0.0,15.3,57.6,0.3,2.56,1.9,13.3,0.0
Peyton Barber,TB,RB,16,DAL,0.0,0.0,0.0,0.0,0.0,14.9,55.2,0.4,1.89,1.4,9.3,0.0
Kalen Ballage,MIA,RB,16,JAX,0.0,0.0,0.0,0.0,0.0,11.4,51.4,0.3,2.56,1.9,12.8,0.1
Doug Martin,LV,RB,16,DEN,0.0,0.0,0.0,0.0,0.0,13.8,53.1,0.4,2.04,1.4,10.3,0.0
LeSean McCoy,BUF,RB,16,NE,0.0,0.0,0.0,0.0,0.0,13.2,48.0,0.2,3.12,2.3,16.9,0.1
Adrian Peterson,WAS,RB,16,TEN,0.0,0.0,0.0,0.0,0.0,14.9,54.3,0.3,1.43,1.1,8.8,0.0
Kenyan Drake,MIA,RB,16,JAX,0.0,0.0,0.0,0.0,0.0,7.6,29.1,0.2,4.58,3.1,27.3,0.2
Josh Adams,PHI,RB,16,HOU,0.0,0.0,0.0,0.0,0.0,13.7,50.9,0.4,1.1,0.8,4.7,0.0
James White,NE,RB,16,BUF,0.0,0.0,0.0,0.0,0.0,4.1,16.6,0.1,6.38,4.4,38.5,0.3
Zach Zenner,DET,RB,16,MIN,0.0,0.0,0.0,0.0,0.0,10.1,42.4,0.3,2.83,1.9,13.2,0.0
Kenneth Dixon,BAL,RB,16,LAC,0.0,0.0,0.0,0.0,0.0,8.7,38.6,0.3,1.59,1.2,10.4,0.0
Dion Lewis,TEN,RB,16,WAS,0.0,0.0,0.0,0.0,0.0,7.3,29.0,0.2,3.45,2.4,17.4,0.1
Jalen Richard,LV,RB,16,DEN,0.0,0.0,0.0,0.0,0.0,5.1,20.9,0.1,4.99,3.4,30.0,0.1
