name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,4,DEN,22.5,34.0,280.4,2.1,0.8,3.9,15.0,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,4,BUF,23.3,35.2,261.4,2.2,0.6,3.3,12.9,0.1,0.0,0.0,0.0,0.0
Drew Brees,NO,QB,4,NYG,22.2,36.9,295.5,2.0,0.7,1.8,3.5,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,4,MIA,24.3,37.1,282.3,2.1,0.6,1.7,2.1,0.1,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,4,IND,22.0,34.6,259.0,1.7,0.9,5.6,29.0,0.2,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,4,SF,23.8,35.8,288.4,2.1,0.6,1.5,1.5,0.0,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,4,CIN,23.6,36.0,274.1,1.9,0.7,2.3,6.3,0.1,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,4,ATL,24.0,37.5,266.1,1.9,0.8,2.3,8.2,0.1,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,4,BAL,24.5,38.2,287.3,2.0,1.0,1.8,3.5,0.0,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,4,ARI,19.8,31.8,240.1,1.7,0.7,4.8,22.0,0.1,0.0,0.0,0.0,0.0
Andrew Luck,IND,QB,4,HOU,23.3,36.1,251.3,1.8,0.8,3.1,12.6,0.1,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,4,TEN,22.5,35.8,250.3,1.7,0.7,3.5,13.5,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,MIA,QB,4,NE,22.8,35.8,263.7,1.6,0.9,3.2,12.2,0.1,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,TB,QB,4,CHI,21.2,35.4,267.7,1.6,1.1,3.4,11.8,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,4,LAR,24.2,38.5,271.6,1.6,1.0,3.0,10.0,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,4,MIN,21.8,35.3,262.8,1.8,0.8,1.9,4.4,0.0,0.0,0.0,0.0,0.0
Case Keenum,DEN,QB,4,KC,23.3,37.9,261.7,1.7,0.9,2.3,6.5,0.1,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,4,DAL,23.8,37.5,274.2,1.7,0.8,1.9,5.0,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,4,LV,21.8,35.7,249.8,1.5,0.7,2.8,11.8,0.1,0.0,0.0,0.0,0.0
Mitchell Trubisky,CHI,QB,4,TB,22.8,34.9,234.7,1.4,0.9,4.2,18.1,0.2,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,4,NO,24.6,37.8,268.6,1.7,0.9,1.4,2.3,0.0,0.0,0.0,0.0,0.0
Joe Flacco,BAL,QB,4,PIT,24.7,39.2,261.4,1.6,0.8,2.4,5.0,0.0,0.0,0.0,0.0,0.0
Blake Bortles,JAX,QB,4,NYJ,20.2,33.4,219.4,1.4,0.9,4.3,21.6,0.1,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,4,DET,19.6,30.7,207.2,1.3,0.8,4.5,21.4,0.2,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,4,GB,18.6,30.9,211.8,1.1,1.0,6.0,26.3,0.2,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,4,CLE,23.8,36.7,262.3,1.5,1.0,1.6,2.5,0.0,0.0,0.0,0.0,0.0
C.J. Beathard,SF,QB,4,LAC,20.2,34.9,225.6,1.1,1.1,3.8,17.4,0.1,0.0,0.0,0.0,0.0
Marcus Mariota,TEN,QB,4,PHI,17.9,30.8,195.6,1.1,1.0,4.3,22.7,0.1,0.0,0.0,0.0,0.0
Josh Rosen,ARI,QB,4,SEA,19.4,33.4,212.0,1.2,1.2,2.2,6.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,NYJ,QB,4,JAX,18.9,34.0,209.1,0.9,1.3,2.3,5.5,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,4,PIT,0.7,1.2,9.9,0.0,0.0,1.6,7.7,0.1,0.0,0.0,0.0,0.0
Jacoby Brissett,IND,QB,4,HOU,0.7,1.2,9.9,0.1,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,RB,4,NYG,0.0,0.0,0.0,0.0,0.0,13.4,58.2,0.5,9.17,7.0,66.4,0.4
Todd Gurley,LAR,RB,4,MIN,0.0,0.0,0.0,0.0,0.0,18.9,82.3,0.7,5.3,3.9,39.2,0.2
Ezekiel Elliott,DAL,RB,4,DET,0.0,0.0,0.0,0.0,0.0,19.6,95.8,0.8,4.25,3.2,23.3,0.1
Melvin Gordon,LAC,RB,4,SF,0.0,0.0,0.0,0.0,0.0,17.4,68.7,0.6,6.06,4.1,37.0,0.2
Saquon Barkley,NYG,RB,4,NO,0.0,0.0,0.0,0.0,0.0,15.7,67.9,0.5,7.59,5.1,39.9,0.2
James Conner,PIT,RB,4,BAL,0.0,0.0,0.0,0.0,0.0,17.4,69.5,0.6,5.32,3.6,28.2,0.1
Derrick Coleman,ATL,RB,4,CIN,0.0,0.0,0.0,0.0,0.0,15.7,65.4,0.5,3.48,2.6,23.8,0.2
David Johnson,ARI,RB,4,SEA,0.0,0.0,0.0,0.0,0.0,15.0,55.9,0.4,5.2,4.0,35.3,0.2
Kareem Hunt,KC,RB,4,DEN,0.0,0.0,0.0,0.0,0.0,15.6,63.2,0.6,3.1,2.2,17.8,0.1
Jordan Howard,CHI,RB,4,TB,0.0,0.0,0.0,0.0,0.0,18.3,75.2,0.5,3.28,2.4,18.4,0.0
Giovani Bernard,CIN,RB,4,ATL,0.0,0.0,0.0,0.0,0.0,13.3,61.0,0.4,5.36,4.0,30.5,0.1
Carlos Hyde,CLE,RB,4,LV,0.0,0.0,0.0,0.0,0.0,16.2,68.5,0.6,2.8,2.0,14.7,0.0
Leonard Fournette,JAX,RB,4,NYJ,0.0,0.0,0.0,0.0,0.0,16.7,64.1,0.5,3.52,2.4,18.4,0.1
Alex Collins,BAL,RB,4,PIT,0.0,0.0,0.0,0.0,0.0,13.7,59.5,0.5,3.01,2.2,18.2,0.1
Marshawn Lynch,LV,RB,4,CLE,0.0,0.0,0.0,0.0,0.0,14.9,62.5,0.6,2.64,1.9,12.4,0.0
Lamar Miller,HOU,RB,4,IND,0.0,0.0,0.0,0.0,0.0,15.9,63.3,0.3,3.75,2.7,22.4,0.1
Sony Michel,NE,RB,4,MIA,0.0,0.0,0.0,0.0,0.0,12.7,52.5,0.5,3.01,2.2,16.7,0.1
Kenyan Drake,MIA,RB,4,NE,0.0,0.0,0.0,0.0,0.0,12.0,52.6,0.3,4.88,3.3,24.7,0.1
LeSean McCoy,BUF,RB,4,GB,0.0,0.0,0.0,0.0,0.0,13.3,51.9,0.3,3.8,2.8,22.1,0.1
Dalvin Cook,MIN,RB,4,LAR,0.0,0.0,0.0,0.0,0.0,11.4,47.9,0.3,4.58,3.1,26.2,0.1
Matt Breida,SF,RB,4,LAC,0.0,0.0,0.0,0.0,0.0,9.7,49.5,0.3,3.61,2.6,22.4,0.1
Jay Ajayi,PHI,RB,4,TEN,0.0,0.0,0.0,0.0,0.0,14.2,59.1,0.4,2.48,1.8,12.6,0.0
Kerryon Johnson,DET,RB,4,DAL,0.0,0.0,0.0,0.0,0.0,11.7,49.7,0.3,3.61,2.7,19.5,0.1
James White,NE,RB,4,MIA,0.0,0.0,0.0,0.0,0.0,5.3,20.3,0.2,6.52,4.5,37.1,0.3
Phillip Lindsay,DEN,RB,4,KC,0.0,0.0,0.0,0.0,0.0,10.9,47.9,0.2,3.03,2.3,21.0,0.1
Dion Lewis,TEN,RB,4,PHI,0.0,0.0,0.0,0.0,0.0,10.3,39.8,0.3,4.17,2.9,21.9,0.1
Isaiah Crowell,NYJ,RB,4,JAX,0.0,0.0,0.0,0.0,0.0,11.2,46.0,0.4,2.94,2.0,13.3,0.0
Royce Freeman,DEN,RB,4,KC,0.0,0.0,0.0,0.0,0.0,10.8,48.3,0.4,2.03,1.4,10.0,0.0
Bilal Powell,NYJ,RB,4,JAX,0.0,0.0,0.0,0.0,0.0,9.9,41.2,0.2,3.19,2.2,18.0,0.1
Derrick Henry,TEN,RB,4,PHI,0.0,0.0,0.0,0.0,0.0,13.3,49.7,0.3,1.49,1.0,9.1,0.0
Jamaal Williams,GB,RB,4,BUF,0.0,0.0,0.0,0.0,0.0,9.1,38.8,0.3,2.12,1.6,12.3,0.1
Jordan Wilkins,IND,RB,4,HOU,0.0,0.0,0.0,0.0,0.0,11.6,41.8,0.3,2.7,2.0,14.9,0.0
Austin Ekeler,LAC,RB,4,SF,0.0,0.0,0.0,0.0,0.0,5.9,27.9,0.2,3.31,2.4,24.5,0.2
Peyton Barber,TB,RB,4,CHI,0.0,0.0,0.0,0.0,0.0,12.3,45.6,0.3,1.89,1.4,10.2,0.0
Javorius Allen,BAL,RB,4,PIT,0.0,0.0,0.0,0.0,0.0,7.2,27.4,0.3,4.41,3.2,22.4,0.1
Alfred Morris,SF,RB,4,LAC,0.0,0.0,0.0,0.0,0.0,9.7,42.9,0.3,1.47,1.1,9.0,0.0
Aaron Jones,GB,RB,4,BUF,0.0,0.0,0.0,0.0,0.0,8.9,39.3,0.3,1.63,1.2,8.6,0.0
Nyheim Hines,IND,RB,4,HOU,0.0,0.0,0.0,0.0,0.0,6.1,22.6,0.2,3.78,2.8,19.5,0.1
T.J. Yeldon,JAX,RB,4,NYJ,0.0,0.0,0.0,0.0,0.0,5.6,26.2,0.1,3.7,2.5,18.6,0.1
Rashaad Penny,SEA,RB,4,ARI,0.0,0.0,0.0,0.0,0.0,7.8,27.7,0.2,2.41,1.8,15.0,0.0
Latavius Murray,MIN,RB,4,LAR,0.0,0.0,0.0,0.0,0.0,8.7,33.9,0.2,1.46,1.1,8.1,0.0
Theo Riddick,DET,RB,4,DAL,0.0,0.0,0.0,0.0,0.0,3.2,11.4,0.1,5.47,3.7,28.1,0.1
Tarik Cohen,CHI,RB,4,TB,0.0,0.0,0.0,0.0,0.0,4.9,20.9,0.1,3.56,2.6,20.1,0.1
Duke Johnson,CLE,RB,4,LV,0.0,0.0,0.0,0.0,0.0,3.7,16.1,0.1,3.67,2.7,24.6,0.1
Frank Gore,MIA,RB,4,NE,0.0,0.0,0.0,0.0,0.0,8.2,31.9,0.1,2.14,1.6,12.5,0.0
Ito Smith,ATL,RB,4,CIN,0.0,0.0,0.0,0.0,0.0,5.8,21.7,0.2,2.1,1.5,12.9,0.0
LeGarrette Blount,DET,RB,4,DAL,0.0,0.0,0.0,0.0,0.0,7.5,29.6,0.2,1.25,0.9,5.8,0.0
Jalen Richard,LV,RB,4,CLE,0.0,0.0,0.0,0.0,0.0,3.1,11.4,0.1,4.26,2.9,23.3,0.1
Alfred Blue,HOU,RB,4,IND,0.0,0.0,0.0,0.0,0.0,6.5,25.4,0.2,1.21,0.9,6.4,0.0
Chris Ivory,BUF,RB,4,GB,0.0,0.0,0.0,0.0,0.0,6.7,23.2,0.1,2.0,1.4,14.0,0.0
Wendell Smallwood,PHI,RB,4,TEN,0.0,0.0,0.0,0.0,0.0,6.0,23.3,0.1,2.23,1.5,12.0,0.0
Mike Gillislee,NO,RB,4,NYG,0.0,0.0,0.0,0.0,0.0,5.3,20.3,0.2,1.07,0.8,6.1,0.0
Doug Martin,LV,RB,4,CLE,0.0,0.0,0.0,0.0,0.0,6.4,24.6,0.1,1.16,0.8,5.6,0.0
Chase Edmonds,ARI,RB,4,SEA,0.0,0.0,0.0,0.0,0.0,4.6,17.0,0.1,2.51,1.7,12.3,0.0
Devontae Booker,DEN,RB,4,KC,0.0,0.0,0.0,0.0,0.0,3.1,12.5,0.1,2.44,1.7,13.8,0.0
Spencer Ware,KC,RB,4,DEN,0.0,0.0,0.0,0.0,0.0,4.0,15.9,0.1,1.66,1.2,10.0,0.0
Jacquizz Rodgers,TB,RB,4,CHI,0.0,0.0,0.0,0.0,0.0,3.3,10.9,0.1,1.8,1.3,10.4,0.0
Wayne Gallman,NYG,RB,4,NO,0.0,0.0,0.0,0.0,0.0,3.6,13.9,0.1,1.87,1.3,9.3,0.0
Malcolm Brown,LAR,RB,4,MIN,0.0,0.0,0.0,0.0,0.0,4.1,16.3,0.1,0.85,0.6,4.8,0.0
Corey Grant,JAX,RB,4,NYJ,0.0,0.0,0.0,0.0,0.0,3.6,14.1,0.0,1.91,1.3,12.0,0.0
Cordarrelle Patterson,NE,RB,4,MIA,0.0,0.0,0.0,0.0,0.0,0.9,6.0,0.0,1.83,1.2,12.7,0.1
Josh Adams,PHI,RB,4,TEN,0.0,0.0,0.0,0.0,0.0,3.2,11.4,0.1,1.1,0.8,6.7,0.0
Mark Walton,CIN,RB,4,ATL,0.0,0.0,0.0,0.0,0.0,3.4,13.1,0.1,0.73,0.5,4.3,0.0
Nick Chubb,CLE,RB,4,LV,0.0,0.0,0.0,0.0,0.0,3.0,12.4,0.1,0.86,0.6,4.2,0.0
Stevan Ridley,PIT,RB,4,BAL,0.0,0.0,0.0,0.0,0.0,2.8,11.4,0.1,0.93,0.7,4.3,0.0
Rod Smith,DAL,RB,4,DET,0.0,0.0,0.0,0.0,0.0,2.7,11.1,0.1,0.91,0.7,6.3,0.0
Ronald Jones II,TB,RB,4,CHI,0.0,0.0,0.0,0.0,0.0,2.3,10.4,0.1,0.42,0.3,2.9,0.0
Mike Davis,SEA,RB,4,ARI,0.0,0.0,0.0,0.0,0.0,2.8,9.7,0.0,1.33,0.9,6.5,0.0
C.J. Prosise,SEA,RB,4,ARI,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.57,1.2,12.0,0.0
Dwayne Washington,NO,RB,4,NYG,0.0,0.0,0.0,0.0,0.0,1.9,7.0,0.1,0.87,0.6,3.9,0.0
Jeremy McNichols,IND,RB,4,HOU,0.0,0.0,0.0,0.0,0.0,1.1,4.4,0.1,0.29,0.2,1.8,0.0
Kenjon Barner,NE,RB,4,MIA,0.0,0.0,0.0,0.0,0.0,2.0,7.5,0.0,0.58,0.4,3.4,0.0
Kalen Ballage,MIA,RB,4,NE,0.0,0.0,0.0,0.0,0.0,1.0,4.3,0.0,0.67,0.5,4.5,0.0
