name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Patrick Mahomes,KC,QB,17,LV,23.5,36.4,303.7,2.6,0.7,4.2,16.5,0.1,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,17,DET,23.6,37.6,277.2,2.0,0.5,3.2,17.4,0.1,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,17,CIN,25.9,39.8,303.4,2.3,0.8,1.6,3.9,0.0,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,17,TB,24.0,36.5,295.1,2.1,0.6,2.2,5.5,0.1,0.0,0.0,0.0,0.0
Jared Goff,LAR,QB,17,SF,21.9,35.4,274.4,2.1,0.8,2.5,4.8,0.1,0.0,0.0,0.0,0.0
Andrew Luck,IND,QB,17,TEN,24.3,40.1,287.7,2.0,0.9,2.6,9.7,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,17,CLE,11.7,19.4,155.5,1.1,0.7,13.7,68.3,0.4,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,17,JAX,19.0,31.5,236.8,1.6,0.8,6.0,29.0,0.2,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,17,ATL,23.1,35.7,266.0,1.8,1.0,3.3,14.7,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,17,ARI,16.9,27.2,219.3,1.8,0.6,4.9,24.1,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,17,NYJ,21.4,35.6,262.7,1.9,0.7,1.5,2.3,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,17,DEN,22.3,34.1,276.8,2.0,0.8,1.2,0.9,0.0,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,17,MIA,17.7,30.5,209.7,1.2,1.0,7.8,43.7,0.3,0.0,0.0,0.0,0.0
Nick Foles,PHI,QB,17,WAS,19.9,33.1,265.0,1.8,0.8,1.7,4.3,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,17,CHI,21.5,34.9,251.5,1.7,1.0,2.7,7.0,0.1,0.0,0.0,0.0,0.0
