name,team,position,week,opp,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td
Drew Brees,NO,QB,12,ATL,23.4,39.1,312.6,2.6,0.5,1.5,2.7,0.1,0.0,0.0,0.0,0.0
Andrew Luck,IND,QB,12,MIA,24.2,36.0,287.9,2.4,0.8,2.3,8.1,0.1,0.0,0.0,0.0,0.0
Matt Ryan,ATL,QB,12,NO,26.0,39.2,315.0,2.1,0.7,2.1,6.1,0.1,0.0,0.0,0.0,0.0
Cam Newton,CAR,QB,12,SEA,21.1,33.2,241.1,1.8,0.7,7.0,30.6,0.3,0.0,0.0,0.0,0.0
Aaron Rodgers,GB,QB,12,MIN,23.0,37.8,269.8,1.9,0.5,3.2,15.2,0.1,0.0,0.0,0.0,0.0
Ben Roethlisberger,PIT,QB,12,DEN,24.3,37.7,293.7,2.1,0.9,1.7,3.8,0.1,0.0,0.0,0.0,0.0
Russell Wilson,SEA,QB,12,CAR,19.7,30.0,237.4,2.0,0.6,3.9,22.7,0.1,0.0,0.0,0.0,0.0
Jameis Winston,TB,QB,12,SF,23.1,36.0,279.8,2.0,1.1,3.3,15.0,0.1,0.0,0.0,0.0,0.0
Kirk Cousins,MIN,QB,12,GB,26.4,38.2,286.2,1.9,0.8,2.8,8.4,0.1,0.0,0.0,0.0,0.0
Tom Brady,NE,QB,12,NYJ,23.1,36.6,276.9,2.0,0.6,1.6,3.1,0.1,0.0,0.0,0.0,0.0
Carson Wentz,PHI,QB,12,NYG,24.6,36.4,266.9,1.9,0.8,3.3,14.3,0.1,0.0,0.0,0.0,0.0
Philip Rivers,LAC,QB,12,ARI,21.5,32.3,278.7,2.1,0.7,1.3,1.0,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,12,LV,14.7,24.3,171.5,1.1,0.8,13.0,62.7,0.4,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,12,WAS,19.3,31.3,223.6,1.5,0.8,5.1,26.3,0.3,0.0,0.0,0.0,0.0
Deshaun Watson,HOU,QB,12,TEN,19.6,30.7,241.1,1.7,0.9,5.4,25.1,0.1,0.0,0.0,0.0,0.0
Baker Mayfield,CLE,QB,12,CIN,21.9,36.3,256.7,1.8,0.9,2.8,13.9,0.1,0.0,0.0,0.0,0.0
Eli Manning,NYG,QB,12,PHI,24.5,35.5,275.7,1.7,0.8,1.3,2.2,0.0,0.0,0.0,0.0,0.0
Andy Dalton,CIN,QB,12,CLE,21.0,34.7,245.3,1.8,1.0,1.9,8.4,0.1,0.0,0.0,0.0,0.0
Matthew Stafford,DET,QB,12,CHI,23.8,37.9,257.5,1.6,0.9,2.0,6.7,0.1,0.0,0.0,0.0,0.0
Nick Mullens,SF,QB,12,TB,21.6,33.9,259.9,1.7,0.8,2.5,4.9,0.0,0.0,0.0,0.0,0.0
Case Keenum,DEN,QB,12,PIT,21.8,35.7,248.0,1.4,0.9,1.7,5.9,0.1,0.0,0.0,0.0,0.0
Ryan Tannehill,MIA,QB,12,IND,20.8,32.7,243.5,1.5,1.0,2.7,11.6,0.0,0.0,0.0,0.0,0.0
Chase Daniel,CHI,QB,12,DET,19.3,30.7,221.3,1.4,0.9,3.4,13.2,0.1,0.0,0.0,0.0,0.0
Marcus Mariota,TEN,QB,12,HOU,18.4,30.5,205.8,1.2,0.9,4.7,23.8,0.1,0.0,0.0,0.0,0.0
Blake Bortles,JAX,QB,12,BUF,18.7,31.8,204.8,1.3,1.0,3.9,20.9,0.1,0.0,0.0,0.0,0.0
Colt McCoy,WAS,QB,12,DAL,19.3,32.7,219.5,1.2,0.9,3.6,14.3,0.1,0.0,0.0,0.0,0.0
Josh McCown,NYJ,QB,12,NE,19.0,33.2,218.5,1.4,1.0,2.3,7.4,0.1,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,12,JAX,16.6,30.2,178.9,1.0,1.0,6.0,26.0,0.2,0.0,0.0,0.0,0.0
Derek Carr,LV,QB,12,BAL,21.4,34.4,226.5,1.2,0.9,1.6,4.0,0.0,0.0,0.0,0.0,0.0
Josh Rosen,ARI,QB,12,LAC,15.8,26.2,210.0,1.3,1.0,2.4,8.5,0.0,0.0,0.0,0.0,0.0
Taysom Hill,NO,QB,12,ATL,0.7,1.2,9.2,0.0,0.0,3.0,17.6,0.1,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,TB,QB,12,SF,2.3,3.9,31.0,0.2,0.2,0.4,2.0,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,BAL,QB,12,LV,0.7,1.2,9.6,0.1,0.0,0.3,1.2,0.0,0.0,0.0,0.0,0.0
Brock Osweiler,MIA,QB,12,IND,0.7,1.2,9.2,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NO,RB,12,ATL,0.0,0.0,0.0,0.0,0.0,12.2,60.4,0.7,7.59,5.8,53.5,0.4
Ezekiel Elliott,DAL,RB,12,WAS,0.0,0.0,0.0,0.0,0.0,20.2,92.2,0.6,4.92,3.7,31.2,0.2
Saquon Barkley,NYG,RB,12,PHI,0.0,0.0,0.0,0.0,0.0,17.0,74.0,0.6,8.64,5.8,48.2,0.2
